相談内容,回答内容,回答に使用したQA資料
子供の面会,滋賀県国際協会の情報に基づくと、子どもの面会についての直接的な案内は本文には含まれていません。しかし、放課後児童クラブや地域の居場所・子ども食堂など、子どもが安全に過ごせる場所の案内がされています。面会についての具体的な情報を知りたい場合は、市役所の窓口や関係機関に問い合わせることをおすすめします。,"[{""sid"": ""S1"", ""question"": ""[小学校デビューQ＆A] 放課後、子どもを預かってもらえるところはありますか？"", ""answer"": ""小学校入学、おめでとうございます！ ４月から学校で新しい生活がスタートしますね。 新学期が始まると、様々な手続きがあります。学校からのプリントを丁寧に確認し、わからない事があれば学校にたずねましょう！\n放課後児童クラブ（＊）があります。＊名称が異なる場合もあります。\n児童クラブは、小学生の保護者が労働、疾病、介護などの事情により、放課後家庭で子どもを世話できない場合、子どもに遊びや生活の場を提供する場所です。児童クラブには公営のものと民間のものがあり、長期休みの間も利用できる日があります。利用条件や料金などそれぞれ異なりますので、詳しくは市役所の窓口に問い合わせてください。""}]"
法律相談,滋賀県国際協会の情報の根拠としては示されていません。滋賀県内の法的相談には法テラス（多言語窓口含む）や滋賀弁護士会の案内を参照してください。具体的には、法テラス滋賀の連絡先は050-3383-5454、滋賀弁護士会の所在地は大津市梅林1-3-3です。必要に応じて、管轄の家庭裁判所の連絡先（大津家庭裁判所）や京都外国人の夫婦と親子に関する紛争解決センター等を利用してください。,"[{""sid"": ""S1"", ""question"": ""法律についての相談は"", ""answer"": ""法テラス\n℡　0570-078374（日本語）\n℡　0570-078377（英語、中国語、韓国語、スペイン語、ポルトガル語、ベトナム語、タガログ語)\n℡　03-5366-6008（多言語ダイヤル）\n法テラス滋賀\n大津市浜大津1-2-22　大津商中日生ビル５Ｆ\n℡　050-3383-5454\n滋賀弁護士会\n大津市梅林１-３-３""}, {""sid"": ""S2"", ""question"": ""離婚についての話し合いがうまくいきません。"", ""answer"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}, {""sid"": ""S3"", ""question"": ""労働トラブルの相談"", ""answer"": ""労働関係のトラブルがあった場合は、下記の労働基準監督署に相談しましょう。（労働契約、就労規則、給料明細などがあれば持参してください）""}, {""sid"": ""S4"", ""question"": ""離婚届"", ""answer"": ""- それぞれの夫婦が離婚する場合、どの国の法律が適用されるかという準拠法に深くかかわってきます。\n- 日本では、離婚の準拠法について、第一に夫婦の本国方が同一の時はその法律（共通本国法）により、第二にその共通本国法がない場合において夫婦の常居所地法が同一であるときはその法律によるが、第三にそのいずれの法律もない時は夫婦にもっとも密接な関係のある地の法律（密接関連法）による、とされていますが、これには例外があって、夫婦の一方が日本に常居所がある日本人であるときは、日本の法律によって決められます。\n- 日本の法律が適用される場合、協議離婚をすることができます。協議が成立しない場合は、家庭裁判所の調停や審判による離婚、地方裁判所の判決による離婚のいずれの方法もとることができます。\n- 各国の離婚に関する法律については、各在日公館にお問い合わせください。""}, {""sid"": ""S5"", ""question"": ""刑事事件を起こしてしまったら （事件・事故）"", ""answer"": ""被疑者の権利\n被疑者の権利として３つの権利が保障されています。\n1. 事実を知る権利\n2. 黙秘権\n3. 弁護人依頼権\n当番弁護士制度\n警察に逮捕、拘留された被疑者や家族の求めに応じて弁護士会が速やかに弁護士を被疑者のところに派遣する「当番弁護士」の制度があります。要請する場合ははっきりと申し出てください。\n滋賀弁護士会　当番弁護士専用電話　　TEL　077-522-2013\n民事法律扶助制度\n経済的に困っている人には、日本司法支援センター　(法テラス)　がありますので、当番弁護士が接見に来た際に相談してください 。\n法テラス [多言語ダイヤル]　TEL 0570-078-377\n法テラス [多言語] (http://www.houterasu.or.jp/multilingual/)\n国選弁護人\n起訴後、被告人は裁判のための弁護人を依頼することができます。経済的に無理な場合は、依頼すれば政府の国選弁護人をつけてくれます。""}]"
ソーラーパネルについて,申し訳ありませんが、提供されたコンテキストには“ソーラーパネル”に関する滋賀県国際協会の情報が含まれていません。滋賀県国際協会の公式情報をもとに、特定の主張と出典を併記して回答しますので、必要な場合は具体的な質問内容を教えてください。 [S?],[]
生活困窮,生活に困ったときは、市役所の福祉の窓口または社会福祉協議会に相談してください。社会的包摂サポートセンター よりそいホットライン 0120-279-338 にも連絡できます。滋賀県では包括的な相談窓口として地域の福祉課・社会福祉事務所の活用や、必要に応じて県の一時的な受け入れ対応があります。,"[{""sid"": ""S1"", ""question"": ""生活に困ったら"", ""answer"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}]"
携帯会社や自動車ローンでの住所変更届,滋賀県の情報を根拠に簡潔に回答します。携帯会社の住所変更は、契約者の居住地が変わる場合は新住所の情報を各携帯会社の窓口またはオンライン手続きで届け出ます。自動車ローンの住所変更は、ローン契約情報に基づき金融機関の窓口やオンラインサービスで新住所を変更します。いずれも、転出届・転居届の提出後14日以内の対応を目安に、本人確認できる書類と新旧住所が分かる証明書を用意してください。自治会や郵便物転送の案内も活用し、本人確認情報の一致を保つよう手続きを進めてください。,"[{""sid"": ""S1"", ""question"": ""引っ越し先が決まったら、何をしたらいいのでしょう？"", ""answer"": ""届け出\nお住まいの市町役場に転出届を出します。引っ越し後14日以内に、新住所の役場に転居、転入届を出し、在留カードとマイナンバーカードの住所変更も行います。\nまた、子どもさんがおられる方は、新しい保育園、幼稚園、学校への転入手続きも行います。職場、銀行への連絡や、運転免許証の住所変更も必要です。郵便局へ郵便物の転送届を出しておくと、引っ越し前の住所地に届いた郵便物を新住所に転送してもらえます。\n近所との付き合い\n日本では、引っ越した人が近所の人に挨拶をする習慣があります。近所の人と知り合って、ゴミの収集日や収集場所、災害時の避難場所など地域のルールを教えてもらいましょう。\n自治会\n地域ごとに住民が運営する自治会があります。自治会では、住民同士が地域での暮らしを良くするため、防犯、防災、美化活動を行ったり、地域の子どもたちがスポーツや祭りなどを楽しむ「子ども会」があるなど様々な活動をしています。それらの事業の運営のため、会員は自治会費を支払い、役割分担もあります。また、細かな地域の情報が掲載された「回覧板」が回ってきます。自治会は任意加入ですが、ゴミ収集場所の管理を自治会がしている場合など、加入が必要になることもあります。災害時などには近所同士の助け合いが必要になるので、近所とのお付き合いは大切にしましょう。\n※地域によって自治会の有無や活動内容、自治会費は異なりますので、必ず確認してください。""}]"
通学費について,滋賀県国際協会の情報に基づくと、公立の小中学校の授業料は無料ですが、通学費や給食費、教材費などは自己負担となる場合があります。就学援助制度を活用できる可能性があり、申請は学校を通じて行います。通学費の具体的な補助は就学援助制度の対象となることが多く、詳細は在籍学校や市町教育委員会に確認してください。,"[{""sid"": ""S3"", ""question"": ""子どもたちが安心して育つために　～公的援助制度について～"", ""answer"": ""子育てには養育費・教育費などたくさんのお金がかかります。日本には、子育てを経済的に援助する様々な公的制度があります。申請の必要なものもありますので、それぞれの申請時期を確認してうまく利用しましょう。\n児童手当制度\n生後から中学校卒業年齢までの児童を養育している方へ児童手当が支給されます。父母が別居している場合は、児童と同居している方に優先的に支給され、また、父母が海外に住んでいる場合、日本国内で児童を養育している方を指定すれば、その方に支給されます。\n[ 問合せ ]\n各市町\n幼児教育、保育、小中学校の授業料の無償化\n幼稚園、保育園、認定こども園の３～５歳児クラスの利用料は無料です。住民税非課税世帯は　０～２歳児クラスでも無料になります。また就労等の保育の必要性の認定を受ければ、預かり保育の利用にも補助が出ます。公立小中学校の授業料も無償化の対象です。\n[ 問合せ ]\n各市町　内閣府HP\n内閣府HP (https://www8.cao.go.jp/shoushi/shinseido/musyouka/about/index.html)\n就学援助制度\n公立の小中学校に就学している児童生徒の保護者に、学用品、通学用品、PTA会費等就学に必要な費用の一部を援助する制度です。生活保護対象の保護者、およびそれに準ずる保護者が対象です。\n[ 問合せ ]\n在籍している小中学校や市町教育委員会\n高等学校等就学支援制度\n年収９１０万円未満の世帯に対して、高校等（高専、高等専修学校等を含む）に在学する生徒の授業料について支援されます。保護者の方に直接支給されるのではなく、学校が受け取り、授業料に充当されます。\n[ 問合せ ]\n在籍している学校を通じて申請\n高校生等奨学給付金\n授業料以外の教育費負担を軽減するため、高校生等がいる低所得者世帯を対象に支援があります。\n[ 問合せ ]\n在学している学校を通じて、私立の場合は滋賀県総務部私学・県立大学振興課、国公立の場合は、滋賀県教育委員会教育総務課\n高等教育の修学支援新制度（授業料等減免と給付型奨学金）\n世帯収入等により、大学や専門学校などの授業料・入学金の免除または減額や給付型の奨学金の支給支援があります。高等学校在学中にも申請できます。\n[ 問合せ ]\n在籍、入学予定の学校・日本学生支援機構\n高等教育の修学支援新制度（授業料等減免と給付型奨学金）\n世帯収入等により、大学や専門学校などの授業料・入学金の免除または減額や給付型の奨学金の支給支援があります。高等学校在学中にも申請できます。\n[ 問合せ ]\n在籍、入学予定の学校・日本学生支援機構""}, {""sid"": ""S4"", ""question"": ""子どもたちが安心して育つために　～公的援助制度について～"", ""answer"": ""子育てには養育費・教育費などたくさんのお金がかかります。日本には、子育てを経済的に援助する様々な公的制度があります。申請の必要なものもありますので、それぞれの申請時期を確認してうまく利用しましょう。\n児童手当制度\n生後から高校修了年代までの児童を養育している方へ児童手当が支給されます。０歳～２歳に月１万５千円、３歳～18歳の最初の３月末までに月１万円、第３子以降は月３万円が支給されます。父母が別居している場合は、児童と同居している方に優先的に支給され、また、父母が海外に住んでいる場合、日本国内で児童を養育している方を指定すれば、その方に支給されます。\n[ 問合せ ]\n各市町\n幼児教育、保育、小中学校の授業料の無償化\n幼稚園、保育園、認定こども園の３～５歳児クラスの利用料は無料です。住民税非課税世帯は　０～２歳児クラスでも無料になります。また就労等の保育の必要性の認定を受ければ、預かり保育の利用にも補助が出ます。公立小中学校の授業料も無償化の対象です。\n[ 問合せ ]\n各市町　内閣府HP\n内閣府HP (https://www8.cao.go.jp/shoushi/shinseido/musyouka/about/index.html)\n就学援助制度\n公立の小中学校に就学している児童生徒の保護者に、学用品、通学用品、PTA会費等就学に必要な費用の一部を援助する制度です。生活保護対象の保護者、およびそれに準ずる保護者が対象です。\n[ 問合せ ]\n在籍している小中学校や市町教育委員会\n高等学校等就学支援制度\n年収９１０万円未満の世帯に対して、高校等（高専、高等専修学校等を含む）に在学する生徒の授業料について支援されます。保護者の方に直接支給されるのではなく、学校が受け取り、授業料に充当されます。\n[ 問合せ ]\n在籍している学校を通じて申請\n高校生等奨学給付金\n授業料以外の教育費負担を軽減するため、高校生等がいる低所得者世帯を対象に支援があります。\n[ 問合せ ]\n在学している学校を通じて、私立の場合は滋賀県総務部私学・県立大学振興課、国公立の場合は、滋賀県教育委員会教育総務課\n高等教育の修学支援新制度（授業料等減免と給付型奨学金）\n世帯収入等により、大学や専門学校などの授業料・入学金の免除または減額や給付型の奨学金の支給支援があります。高等学校在学中にも申請できます。\n[ 問合せ ]\n在籍、入学予定の学校・日本学生支援機構""}]"
ベトナム語通訳の依頼,滋賀県国際協会の情報に基づくと、ベトナム語通訳の依頼についての直接的な窓口は示されていません。OTIT外国人技能実習機構の各言語窓口（ベトナム語を含む多言語対応）に連絡するのが適切です。具体的には、OTITのベトナム語窓口情報として、電話番号0120-250-168（ベトナム語 Tiếng Việt）等が案内されています。通訳依頼の際は、所属機関名、依頼内容、希望日時・場所を明記の上ご連絡ください。,"[{""sid"": ""S1"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}]"
人種差別について,滋賀県国際協会の情報ベースでは、人種差別に関する具体的な条文や適用例はS2およびS3には直接記載されていません。S2には国籍を理由とする差別的取り扱いの禁止など労働関係法令の一般事項が挙げられていますが、人種差別を直接対象とする記述は見当たりません。一般的には、日本の労働関係法令は国籍、信条、社会的身分を理由とする差別を禁止することを基本とします（S2）。人種を含む差別的取り扱いが問われる場合、労働条件の差別禁止の趣旨から適用され得る可能性がありますが、S2の条文主体は“国籍を理由とする差別”の禁止であり、人種差別についての直接の条文は明記されていません。なお、上記は提供された情報ソースS1/S2/S3の範囲内の要点抽出です。,"[{""sid"": ""S2"", ""question"": ""日本の労働関係法令（事業主側に求められていること ）"", ""answer"": ""国籍を理由とする差別的取り扱いの禁止\n使用者は、労働者の国籍、信条又は社会的身分を理由として、賃金、労働時間、その他の労働条件について、差別的取り扱いをしてはならないとされています。（労働基準法　第3条）\n労働条件の明示\n使用者は、労働契約を締結するにあたって、賃金、労働時間その他の労働条件を労働者に明示しなければなりません。特に賃金に関する事項は、書面で明示することが必要です。（労働基準法15条）\nまた、雇い入れにあたっては、賃金、労働時間等の主要な労働条件について、外国人労働者が理解できるようその内容を明らかにした書面（雇入通知書）を交付するよう求められています。\n強制労働･中間搾取の禁止\n使用者は、暴行や脅迫等で、労働者の意思に反して労働を強制してはなりません。\nまた、法令に基づいて許される場合のほか、業として他人の就職に介入して利益を得てはなりません。\n労働契約の不履行について違約金，損害賠償額を予定する契約の禁止\n契約期間満了前の退職等，労働者側の労働契約不履行について違約金を定めたり、損害賠償の額を予定する契約をすることは禁止されています。（労働基準法第16条）\n労働災害にあって療養中の労働者に対する解雇の制限\n業務上負傷し、又は疾病にかかり療養のために休業する期間及びその後30日間の解雇は禁止されています。(労働基準法第19条)\n解雇の予告\n労働者を解雇する場合には、少なくとも30日前に予告する必要があります。30日前に予告しない場合には30日に不足する日数分の平均賃金 (解雇予告手当)を支払う必要があります。\nただし、天災などのやむを得ない事由のために事業の継続が不可能になった場合や、労働者の責に帰すべき事由により解雇する場合はこの限りではありませんが、その場合、労働基準監督署長による解雇予告の除外認定を受けることが必要です。（労働基準法第20条､第21条）\n賃金の支払い\n賃金は､通貨で､労働者に対し直接に､全額を､毎月1回以上、一定期日を定めて支払わなければなりません。ただし、税金、雇用保険料などの法定控除及び組合費などの労使協定による控除は全額払いの例外となります。(労働基準法第24条)\n最低賃金\n使用者は労働者に対し最低賃金額以上の賃金を支払わなくてはなりません。最低賃金には、地域別最低賃金と産業別最低賃金があります。(最低賃金法)\n労働時間､休日\n法定労働時間は、1日8時間、1週間40時間 (一部の規模・業種の事業場については46時間)となっています。(労働基準法第32条。第40条)法定の休日は、週について１日又は４週について４日以上とされています。(労働基準法第35条)\n時間外・休日労働及び深夜労働の割増賃金\n法定の労働時間を延長し､法定の休日に労働させるには、法令で定められた一定の手続きが必要とされています。（労働基準法第36条）\nまた、法定の労働時間を超える労働に対しては､通常の労働時間または労働日の賃金の25％以上の率、法定の休日における労働に対しては、35％以上の率で計算した割増賃金を支払わなければなりません。\nさらに、深夜（午後10時から午前5時まで）における労働に対しても、25％以上の率で計算した割増賃金を支払わなければなりません。（労働基準法第37条）\n年次有給休暇\n6ヶ月間継続勤務し、全労働の8割以上出勤した労働者に対しては､年次有給休暇を与えなければなりません。（労働基準法第39条）\n金品の返還\n我が国に在留する外国人は、旅券又は外国人登録証明書を常時携帯する必要がある（入管法第23条）ので、事業主は旅券等を保管しないこととされています。\nまた、労働者が退職する際に、請求があった場合、7日以内に当該労働者の権利に属する金品を返還しなければなりません。（労働基準法第23条）\n安全衛生\n労働者の安全と衛生を確保するため、安全衛生教育（雇入れ時の教育等）、健康診断の実施等、労働者の危険又は健康障害を防止するための措置を講じなければなりません。（労働安全衛生法）""}]"
ビザの更新について,滋賀県国際協会の情報のみを根拠に事実ベースで回答します。ビザの更新に関する具体的な公的手続きや要件は上記のS1–S5の文献には記載がありません。よって、ビザ更新についての公式な情報はS1～S5には含まれていないため、この質問に対する回答は提供できません。必要な場合は、在日外国人向けの出入国在留管理庁の最新ガイドラインや滋賀労働局・滋賀県庁の国際・在留関連窓口へご確認ください。,"[{""sid"": ""S1"", ""question"": ""健康保険の被扶養者は「国内居住者」に限定されます"", ""answer"": ""2020年４月より、企業の従業員が入る公的医療保険「健康保険」の被扶養者の認定要件に、「原則として国内に居住していること」が追加され、海外在住の被扶養者は外れることになりました。ただし、日本に居住していない被扶養者のうち、日本に生活の基礎があると認められるもの（海外留学、海外赴任の同行家族、観光ボランティア等のための一時的渡航者など）については、 例外的に要件を満たすこととされています。一方、国内に住所があっても、医療滞在ビザで来日した者や観光・保養を目的とするロングステイビザで来日した者は被扶養者認定されません。""}, {""sid"": ""S2"", ""question"": ""有期労働契約の新しいルールについて"", ""answer"": ""有期労働契約について規定する新しいルールが、今年４月から始まります。働き方を選択する上で参考にしましょう。パート、アルバイト、派遣社員、契約社員、嘱託など、有期労働契約で働く人であれば、新しいルールの対象となります。\n※派遣社員は、派遣元（派遣会社）と締結される労働契約が対象です。\nⅠ　無期労働契約への転換\n同一の使用者との間で、有期労働契約が反復更新されて通算5年を超えたときは、労働者の申し込みにより、期間の定めのない労働契約（無期労働契約）に転換できます。\n- 通算契約期間のカウントは、平成25年（2013年）4月1日以降に開始する有期労働契約が対象です。ただし、労働契約が締結されていない期間が連続して6ヶ月以上（契約期間が１年未満の場合は、その2分の1以上）ある場合は、それ以前の契約期間は通算契約期間に含めません。\n- 通算5年を超えて締結された契約の期間内にいつでも申込みができ、申込んだ時点で無期労働契約が成立し、無期に転換されるのは、申込み時の有期労働契約が終了する翌日からです。\n- 労働契約の労働条件は、別段の定め（就業規則)、個々の労働契約）がない限り、直前の有期労働契約と同一になります。\nⅡ　雇い止めの法理」の法定化\n一定の場合には、使用者による雇い止めが認められないことになるルールが法律に規定されました。有期労働契約は、使用者が更新を拒否したとき、契約期間の満了により雇用が終了します。しかし次の①と②については無効であることが、今回、労働契約法に条文化(されました。\n※このルールが適用されるためには、労働者からの有期労働契約の更新の申込みをすること、又は、雇い止めについて「嫌だ」など意思表示をすることが必要です。\nⅢ　不合理な労働条件の禁止\n有期契約労働者と無期契約労働者との間で、期間の定めがあることによる不合理な労働条件の相違を設けることを禁止されました。\n※ 相談窓口：滋賀労働局　雇用環境・均等室　℡：077-522-6648""}, {""sid"": ""S3"", ""question"": ""成年年齢が18歳に引き下がります"", ""answer"": ""2022年4月1日に「民法の一部を改正する法律」によって成年年齢が現行の20歳から18歳に引き下がります。\n18歳以上20歳未満の方（2002年4月2日～2004年4月1日生まれ）\n→　2002年4月1日に成年\n2004年4月2日生まれ以降の方\n→　18歳の誕生日に成年\n民法が改正されることで成年・未成年の定義が一部変更され、在留資格や国籍取得など各種申請に係る年齢要件が変更になるため、注意が必要です。\n成年年齢が引き下がることで何が変わるの？\n- 「未成年・未婚の実子」として在留資格「定住者」へ在留資格を変更する場合の年齢制限が18歳未満になります。\n- 帰化できる年齢は20歳以上となっていたところ、18歳以上になります。\n- 日本人の父に認知された子の国籍取得できる年齢は、18歳未満になります。\n- 多重国籍の方は国籍選択が20歳未満（あるいは22歳に達するまで）から18歳未満（あるいは20歳に達するまで）になります。\n- スマートフォンや一人暮らしのためのアパートを借りるための契約，クレジットカードの作成やローンを組んで自動車を購入したりすることが、１８歳から親の同意がなくてもできるようになります。（返済能力を超えるローン契約と認められる場合、契約できないこともあります。）\n- 女性が結婚できる年齢が16歳以上から18歳以上に引き上がります。2022年4月1日の時点で既に16歳以上の女性は、引き続き、18歳未満でも結婚することがきます。\n成年年齢が変わってもお酒を飲んだりたばこを吸ったりすることができるようになる年齢、公営競技（競馬、競輪、オートレース、モーターボート競走）の年齢制限については２０歳のままです。\nまた、国民年金の加入義務も20歳以上のままです。\n民法では、未成年者が親の同意なしに契約をした場合には、原則として、契約を取り消すことができるとされていますが、今回の改正によって18歳で様々な契約を結ぶことが可能になり、その契約に対して責任を負うことにもなります。安易に契約を結ぶのではなく、内容を確認し、納得したうえで契約を結びましょう。契約を結ぶ前に誰かに相談することも大切です。\n消費トラブルに巻き込まれた場合の相談窓口\n- 消費者ホットライン「１８８」（日本語のみ）\n- 法テラス（多言語情報提供サービス）０５７０-０７８３７７　【平日】９時～１７時""}, {""sid"": ""S4"", ""question"": ""【健康保険シリーズ ８】年に１回は健診を受けましょう！"", ""answer"": ""健康診断を受けていますか？健診はからだの異常を早期に発見できる絶好の機会です。まったく自覚症状のない検査数値の異常も、放置しておくと命にかかわる病気に進行してしまう可能性があります。そのため、毎年の健診結果を確認、比較し、からだの変化を読み取ることが大切です。年に１回は必ず健診を受けましょう。\n日本では、４０歳から７４歳までの健康保険の加入者を対象とした「特定健診」を実施しています。加入する健康保険から年に１回健診費用の補助が受けられます。\n★お勤めの方\n年に１回、健康診断を従業員に受けさせることが事業主に義務付けられています。\n会社で健康診断の案内があったら必ず受診しましょう。法で定められた検査項目については、事業主が費用を負担します。\n★協会けんぽの健康保険に加入の扶養家族の方\n４０歳以上のご家族の方には、毎年４月に特定健診の案内が自宅に届きます。\n中には、受診券やパンフレットなどが入っています。事前に受けたい病院や会場を予約して、特定健診を受けましょう。受診券があれば、費用の総額から７,１５０円引きになります。 自己負担なしの無料で受けられる会場もありますので、案内が届いたら、必ず受診しましょう。\n★国民健康保険に加入中の方\n国民健康保険でも特定健診の受診を推進しており、自宅に案内を配付していますので、案内が届いたら必ず受診しましょう。案内の時期や内容については、住んでいる市町村役場に聞いてみましょう。\n協会けんぽに加入の皆様へ ～ お知らせ ～\n２０２３年１月から、協会けんぽの申請書・届出書の様式が変更になりました。\n新しい様式は、協会けんぽのホームページからダウンロードできます。\n古い様式の申請書・届出書をお持ちの方は、使用せず廃棄してください。""}, {""sid"": ""S5"", ""question"": ""【健康保険シリーズ ８】年に１回は健診を受けましょう！"", ""answer"": ""健康診断を受けていますか？健診はからだの異常を早期に発見できる絶好の機会です。まったく自覚症状のない検査数値の異常も、放置しておくと命にかかわる病気に進行してしまう可能性があります。そのため、毎年の健診結果を確認、比較し、からだの変化を読み取ることが大切です。年に１回は必ず健診を受けましょう。\n日本では、４０歳から７４歳までの健康保険の加入者を対象とした「特定健診」を実施しています。加入する健康保険から年に１回健診費用の補助が受けられます。\n★お勤めの方\n年に１回、健康診断を従業員に受けさせることが事業主に義務付けられています。\n会社で健康診断の案内があったら必ず受診しましょう。法で定められた検査項目については、事業主が費用を負担します。\n★★\t協会けんぽの健康保険に加入の扶養家族の方\n４０歳以上のご家族の方には、毎年４月に特定健診の案内が自宅に届きます。\n中には、受診券やパンフレットなどが入っています。事前に受けたい病院や会場を予約して、特定健診を受けましょう。受診券があれば、費用の総額から７,１５０円引きになります。 自己負担なしの無料で受けられる会場もありますので、案内が届いたら、必ず受診しましょう。\n★★国民健康保険に加入中の方\n国民健康保険でも特定健診の受診を推進しており、自宅に案内を配付していますので、案内が届いたら必ず受診しましょう。案内の時期や内容については、住んでいる市町村役場に聞いてみましょう。\n協会けんぽに加入の皆様へ ～ お知らせ ～\n从2２０２３年１月から、協会けんぽの申請書・届出書の様式が変更になりました。\n新しい様式は、協会けんぽのホームページからダウンロードできます。\n古い様式の申請書・届出書をお持ちの方は、使用せず廃棄してください。""}]"
ベトナム語の相談,ベトナム語での相談先として、滋賀県内の外国人向け窓口情報は提供されていません。S1のOTIT外国人技能実習機構の連絡先は英語、中国語、タガログ語、ベトナム語などの多言語案内を含みますが、具体的なベトナム語相談窓口の記載はありません。必要に応じて、OTITの多言語窓口を利用してください。,"[{""sid"": ""S1"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}]"
