相談内容,回答内容,回答に使用したQA資料
振り込み詐欺について,滋賀県国際協会の情報に基づくと、振り込み詐欺を含む電子マネーを利用した被害が増加しています。以下が要点です。1) 相手にカードを渡さずとも電子マネーの値を譲渡したことになる場合があり、詐欺です。2) 身に覚えのない請求には返信・連絡をしない。3) 事業者や法務省・裁判所などが未納料金の名目で電子マネーカードの購入を求めることは絶対にありません。4) マネー・ロンダリングは違法です。5)口座を他人に渡す等の行為は違法です。6) 金融庁の資金移動業者登録一覧に載っていない業者は違法となり得ます。確認先として金融庁の公的情報を参照してください。7) 不審な場合は家族・友人・警察（警察相談専用電話 9110）へ相談してください。8) 必要に応じて消費者ホットライン188等を利用してください。これらは全て公式情報に基づく注意喚起です。,"[{""sid"": ""S1"", ""question"": ""金融トラブルにご注意！！"", ""answer"": ""電子マネーのトラブル\nインターネット有料サイトの利用料金未納を騙った架空請求など、詐欺行為の支払手段として現金だけでなく、電子マネーを悪用した被害が急増しています。\n※预プリペイドカードなどの電子マネーは、相手にカードを渡さなくても、カードに記載された番号等を伝えるだけで電子マネーの価値を譲渡したことになります。\n詐欺です！：「コンビニで電子マネーカードを買って、カード番号を教えて。\n」\n！身に覚えのない請求等に返信、連絡しないでください。\n！事業者、法務省や裁判所などが「未納料金などの支払い」の名目で、　　コンビニで電子マネーカードを購入させることは絶対にありません。\nマネー・ロンダリング（犯罪に関係するお金を持っている人をわからなくすること）は違法です！\n詐欺です！：「このお金をあなたの口座から送金してほしいんです。一万円あげますから。」\n！口座を他人にあげるなどの行為は違法です。\n！違法な業者かどうか判断できない場合はその業者は使わないでください。\n　金融庁ウェブサイトの資金移動業者登録一覧に載っていない業者は違法です。\nここから確認できます→　https://www.fsa.go.jp/menkyo/menkyoj/shikin_idou.pdf\n。\nメール・SMS（ショートメッセージサービス）による被害防止対策として、あらかじめ受信拒否設定をしておくことが効果的です。\n！おかしいと思ったら、すぐに家族や友人、警察＃9110（警察相談専用電話）に相談！\n- 消費者ホットライン　　　　１８８　（日本語）\n- 訪日外国人観光客消費者ホットライン 03-5449-0906\n- 金融サービス利用者相談室0570-016811（从ＩＰ電話からは：03-5251-6811）\n- 英語ワンストップ窓口　　　email: equestion@fsa.go.jp""}]"
派遣会社との通訳について,派遣会社と通訳を依頼する場合、法的には派遣労働者としての就労期間の制限や雇用安定措置の対象となる可能性があるため、派遣元と直接雇用の可能性や派遣先の受け入れ条件、派遣安定措置の適用有無を事前に確認するとよいです。なお、本質問の文脈での具体的な手続きや費用の詳細は、滋賀労働局の案内および派遣安定措置の要件に基づき、派遣元事業主と派遣先との協議が必要です。必要に応じて、雇用安定措置の1～4のいずれかが適用されるかを派遣元に確認してください。,"[{""sid"": ""S1"", ""question"": ""派遣労働についての新しいルール等を知って、就労に役立てましょう！"", ""answer"": ""■派遣受け入れ期間の制限と労働契約の申し込み義務について\n一部の業務を除き、派遣先で派遣労働者を受け入れることのできる期間には最長３年の制限があります。期間制限を超えてその業務について派遣労働者を仕事をさせる場合などは、派遣先は派遣労働者へ労働契約の申込みをしなければなりません。 2015年の労働者派遣法改正法で、派遣として、同じ事業所で同じ仕事を３年を超えて働くことは、基本的にできないことになりました。一定の手続きを経れば、３年を超えて働くことはできますが、異なる「課」などへ移動することが必要です。2018年９月より、同じ事業所の同じ「課」などに、継続して３年派遣される見込みとなった場合には、派遣元事業主（派遣会社）から下記の雇用安定措置（義務）を受け取ることが可能です。 （１年以上３年未満派遣見込みの方には、努力義務の対象。「派遣元で無期雇用されている派遣労働者」や「６０歳以上の派遣労働者」などは、雇用安定措置の対象外）\n対象：2015年９月３０日以降に労働者派遣契約を締結・更新した派遣労働者\n△　雇用安定措置の内容（義務）\n派遣元事業主は、以下の1.～4.のいずれかの措置を講じる必要があります。また、1.を講じて直接雇用に結び付かなかった場合には、別途2.～4.のいずれかの措置を講じる必要があります\n1. 派遣先への直接雇用の依頼（派遣先が同意すれば、派遣先の社員となります）\n2. 新たな派遣先の提供（その条件が派遣で働く方の能力、経験に照らして合理的なものに限る）\n3. 派遣元での派遣労働者以外としての無期雇用\n4. その他雇用の安定を図るための措置\n注意\n- 雇用安定措置の対象となるには、派遣元事業主に対し、派遣終了後も継続して就業することを希望することが必要です。雇用安定措置1.～4.のうち、派遣元事業主に講じてもらいたいものを希望することができます。\n- 派遣先が、派遣労働者を禁止業務（港湾運送業務、建設業務、警備業務、医療関連業務）に従事させたり、期間制限に違反して労働者派遣を受け入れたなどの場合には、その派遣労働者に対して労働契約の申し込みをしたとみなされます。\n■無期雇用への転換推進措置について\n2018年４月から無期雇用の申請受付も始まっています。有期労働契約が2013年４月以降、反復して更新されて通算５年を超えたときは、労働者の申し込みにより、次回の契約から期間の定めのない労働契約に転換できます。（詳しくはみみタロウ１２６号）\n労働についての相談窓口\n滋賀労働局総合労働相談コーナー　℡：077-522-6648　（日本語）\n大津市打出浜１４－１５滋賀労働総合庁舎４Ｆ\n「外国人労働者向け相談ダイヤル」10:00～15:00\n- 英語　　　　　月～金　　　℡ 0570-001701\n- 中国語　　　　月～金　　　℡ 0570-001702\n- ポルトガル語　月～金　　　℡ 0570-001703\n- スペイン語　　火、木、金　℡ 0570-001704\n- タガログ語　　火、水　　　℡ 0570-001705""}]"
脱退一時金について,脱退一時金は、日本国籍を有しない方が国民年金または厚生年金の被保険者資格を喪失し、日本を出国した場合、日本に住所がなくなった日から2年以内に請求できます。帰国する外国人が6か月以上加入していれば、脱退一時金を受け取ることができます。,"[{""sid"": ""S1"", ""question"": ""脱退一時金 　＜公的年金の受給資格がないけれど、帰国する場合など＞"", ""answer"": ""日本国籍を有しない方が、国民年金又は厚生年金の被保険者資格を喪失し、日本を出国した場合、日本に住所がなくなった日から２年以内に脱退一時金を請求することができます。帰国する外国人が６ヶ月以上加入していれば、脱退一時金を受け取ることができます。""}]"
トラックの扉について,申し訳ありませんが、現在の私の知識では“滋賀県国際協会”の公式情報に基づく“トラックの扉”に関する具体的な事実を特定できませんでした。よろしければ、質問の詳細（どのような扉の仕様や規定、使用環境など）を教えてください。適切な公式情報が確認でき次第、事実ベースでお答えします。,[]
起業について,滋賀県国際協会の情報に基づくと、起業に関連する直接の制度や支援としては、就農を目指す場合の資金支援や農業教育・研修制度が挙げられます。事業として農業を起業する場合、初期投資資金・運転資金の確保が必要であり、「青年等就農資金」など無利子の資金貸付制度や、技術習得のための研修機会を活用して準備を整えることが推奨されています。農地の確保方法としては、農地中間管理機構の仲介や市町の農業委員会を通じた権利取得手続き、農用地利用集積計画の公示など、公的な農地確保ルートを利用します。起業に際しては、農業法人や農家への就職からキャリアを積み、自営農業へ移行する選択肢が示されています。なお、複数の資金制度には条件があるため、具体的な適用可否は各制度の要件確認が必要です。,"[{""sid"": ""S1"", ""question"": ""農業をするには"", ""answer"": ""農業を仕事にしたい方\n次のようなステップで十分な準備をしてから始めましょう！\n1. 情報を収集する\n- 相談する\n- 農業イベントやセミナーに参加する\n2. 農業体験をする\n農業インターンシップ（１週間～６週間）に参加する。\n3. 技術を習得する\n- 滋賀県立農業大学校で学ぶ（１年課程または２年課程）\n- 先進農家や農業法人などで研修を受ける。\n農業次世代担い手育成基金\n次世代を担う農業者となることをめざし、就農に向けて県立農業大学校や県指導農業士等の先進農家において研修を受ける者に対して、最長2年間、年間150万円の資金を交付する制度です。（条件あり）\n4. 仕事の準備をする\n農業を仕事にするには、農業法人や農家等に就職するという方法と、自営で農業を行う方法があります。農業法人等で働いた後、自営農家になる人もいます。\n1)　農業法人などに就職する人：ハローワーク、「滋賀県農林漁業担い手基金」での職業紹介、農業法人などのホームページで就職先をさがす。 2)　自営で農業を行う人：「技術」に加えて「資金」や「農地」の準備も必要です。\n▲資金の確保 農業を始めるには、初期投資資金（農地賃借料、機械、施設など）、運転資金（肥料、農薬、光熱費等）そして自分の生活資金が必要です。\n青年等就農資金\n新たに農業を始めようとする人等で認定新規就農者の認定を受けた人に無利子で資金を貸しつける制度です。（条件あり）\n▲農地の確保 農地の売買や賃貸は、国全体の食料自給率の維持の観点などから管理されており、次のような方法で農地を確保します。\n- 市町の農業委員会で審査を経た上で権利取得の手続きを行う。\n- 市町の農政主管課に農地の売買賃借の意向を届け出て、農用地利用集積計画の\n公示により権利を取得する。\n- 滋賀県農地中間管理機構が仲介する土地に応募して農地を借り入れる。""}]"
当センターについて,滋賀県国際協会の情報に基づくと、センターについての具体的な記述はS1〜S5の中には見当たりません。公民館や市民センターの役割や各種保健・福祉・健診情報などが含まれていますが、当センターの名称や活動内容の詳細は示されていません。必要であれば、S1〜S5の該当情報を補足としてご案内します。,"[{""sid"": ""S1"", ""question"": ""公民館の活動を知ってますか？　～新しい事にチャレンジ！～"", ""answer"": ""公民館や市民センターは、市民が自主グループの学習活動や集会など、公共目的で利用できる施設です。パソコン教室や健康教室、ヨガ、習字、生け花、英会話等の教室、子どもの居場所づくりなど、住民が自分たちでサークル活動を行ったり、住民のための生涯講座が開催されています。安価で気軽に参加でき、地域の友達もできますよ。市役所や公民館などに訊ね、どんな活動があるのか覗いてみましょう！スポーツが好きな人には、市立や県立の体育館などで、体操や柔道、バドミントン、卓球、バレーボール、水泳などの教室やサークル活動が行われています。市役所等に訊ねてみましょう。""}, {""sid"": ""S2"", ""question"": ""郵便局について"", ""answer"": ""以下の関連ページに各言語で案内があります。""}, {""sid"": ""S3"", ""question"": ""予防接種について"", ""answer"": ""予防接種リサーチセンターのウェブサイトを確認してください。""}, {""sid"": ""S4"", ""question"": ""生活に困ったら"", ""answer"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}, {""sid"": ""S5"", ""question"": ""【健康保険シリーズ ８】年に１回は健診を受けましょう！"", ""answer"": ""健康診断を受けていますか？健診はからだの異常を早期に発見できる絶好の機会です。まったく自覚症状のない検査数値の異常も、放置しておくと命にかかわる病気に進行してしまう可能性があります。そのため、毎年の健診結果を確認、比較し、からだの変化を読み取ることが大切です。年に１回は必ず健診を受けましょう。\n日本では、４０歳から７４歳までの健康保険の加入者を対象とした「特定健診」を実施しています。加入する健康保険から年に１回健診費用の補助が受けられます。\n★お勤めの方\n年に１回、健康診断を従業員に受けさせることが事業主に義務付けられています。\n会社で健康診断の案内があったら必ず受診しましょう。法で定められた検査項目については、事業主が費用を負担します。\n★協会けんぽの健康保険に加入の扶養家族の方\n４０歳以上のご家族の方には、毎年４月に特定健診の案内が自宅に届きます。\n中には、受診券やパンフレットなどが入っています。事前に受けたい病院や会場を予約して、特定健診を受けましょう。受診券があれば、費用の総額から７,１５０円引きになります。 自己負担なしの無料で受けられる会場もありますので、案内が届いたら、必ず受診しましょう。\n★国民健康保険に加入中の方\n国民健康保険でも特定健診の受診を推進しており、自宅に案内を配付していますので、案内が届いたら必ず受診しましょう。案内の時期や内容については、住んでいる市町村役場に聞いてみましょう。\n協会けんぽに加入の皆様へ ～ お知らせ ～\n２０２３年１月から、協会けんぽの申請書・届出書の様式が変更になりました。\n新しい様式は、協会けんぽのホームページからダウンロードできます。\n古い様式の申請書・届出書をお持ちの方は、使用せず廃棄してください。""}]"
有休休暇について,滋賀県内の情報に基づくと、有給休暇は雇用期間と勤務条件に応じて付与され、入社日から6カ月継続勤務かつ全労働日の8割以上出勤した場合に10日付与され、それ以降は勤続年数に応じて年休が増えます。年休は2年間で請求権が消滅し、未使用分の換金は原則不可です。育児休暇等の制度利用には一定条件があり、育児休業給付金の支給や産前産後の保険料免除などの適用があります。看護休暇は年次有給休暇とは別に取得可能で、日数は子どもの人数等で異なる場合があります。詳しくは勤務先と滋賀労働局雇用環境・均等室へご確認ください。,"[{""sid"": ""S1"", ""question"": ""働き方が変わります（2019年４月から）"", ""answer"": ""時間外労働の上限規制が導入されます！（中小企業は２０２０年４月１日から）\n時間外労働の上限が、原則月４５時間、年３６０時間となります。臨時的な特別な事情がある場合でも年７２０時間、月１００時間未満（休日労働を含む）、複数月平均８０時間（休日労働含む）を限度に設定する必要があります。\n年次有給休暇の確実な取得が必要です！\n年次有給休暇は、原則として、労働者が請求する時季に与えることとされていますが、職場への配慮等の理由から取得率が低調な現状があります。\nこのため、全ての企業において、年１０日以上の年次有給休暇が付与される労働者に対して、年次有給休暇の日数のうち年５日については、使用者が時季を指定して取得させることが必要となりました。\n年次有給休暇を５日以上取得済みの労働者に対しては、使用者による時季指定は不要です。\n☛有給休暇は勤務年数等によって異なります。労働者側から希望する日を雇用者に申し出ます。""}, {""sid"": ""S2"", ""question"": ""働くときに確認しましょう！"", ""answer"": ""派遣会社から、労働契約を締結するときに労働条件の明示、派遣就業を開始するときに派遣料金額の明示、就業条件の明示があります。\n■　社会保険の加入について確認しましょう！\n社会保険に加入することで、一定の条件を満たせば、傷病手当金、出産手当金、育児休業給付金、介護休業給付金などを受け取ることができます。\n△　社会保険の加入条件\n勤務先が①法人事業所（株式会社、有限会社など）又は②従業員５人以上の個人事業所（飲食業、理美容業などを除く）に該当して、そこで常用使用される人は、厚生年金保険・健康保険に加入することになります。\n- パートタイマー、アルバイトであっても同様の業務に従事している正社員の所定労働時間および労働日数の４分の３以上である人は、被保険者となります。\n- 正社員の４分の３未満であっても、以下の５つの要件を全て満たす人は、被保険者になります。\n■　年次有給休暇、育児休業、介護休業を取ることができます\n派遣でも労働基準法、男女雇用機会均等法などの労働関係法令は適用されます。\n△年次有給休暇\n労働者の権利であり、行使することで賃金が支払われる休暇です。\n- 入社日から6カ月間継続して働き、全労働日の8割以上勤務した場合に10日、それ以降は1年ごとに勤続年数に応じて与えられます。この日数は、週5日または週30時間以上働く人の場合で、パートタイマーやアルバイトであっても、所定労働日数・時間に応じて年休が与えられます。\n- 年休を貯め続けることはできません。年休を請求できる権利は、2年間で消滅します。\n- 労働者の退職や解雇によって労働関係が消滅すれば、有給休暇の請求権は消滅します。\n- 使い切れない有給休暇を換金することは　原則として違法です。\n△育児休業・介護休業\nパートタイマーやアルバイトであっても、一定の条件を満たせば育児・介護休業を取ることができます。\n- 育児休業 労働者が原則として１歳に満たない子を養育するために取る休業です。 取得条件：同一事業者に一年以上雇用されていること。子が１歳６ヶ月に達する日までに労働契約期間が満了することが明らかでないこと。\n- 介護休業 労働者が、要介護状態の対象家族を介護するための休業です。対象家族１人につき通算９３日まで、３回を上限として、介護休業を分割して取得できます。 取得条件：同一事業者に一年以上雇用されていること。取得予定日から起算して９３日を経過する日から６ヶ月を経過する日までの間に、労働契約の期間が満了することが明らかでないこと。""}, {""sid"": ""S3"", ""question"": ""子育て応援シリーズ➂ 仕事と育児の両立を応援！"", ""answer"": ""育児をしながら仕事を続けられるように、産後や育児のための休暇や、復職してから育児をサポートする制度があります。利用するには、雇用状況や加入している保険などについての条件があります。\n★雇用保険（社会保険）の被保険者が利用できる制度\n育児休業制度\n１歳に満たない子を養育するための休業制度です。１歳までの育児休業については、2回に分けて取得することも可能です。父母ともに育児休業を取得する場合や、保育所等に入れない場合には、育児休業期間を延長することもできます。休業開始予定日の１か月前までに、勤務先に書面で申し出てください。一定の条件を満たすと、休業期間中に「育児休業給付金」の支給を受けることができます。支払額は180日までは休業開始時賃金日額の67％、それ以降は50％です。\n出生時育児休業（産後パパ育休）制度\n原則的に男性を対象とした出生後の子を養育するための休業制度です。父親は子どもが生まれた日から８週間以内、４週間分まで取得でき、２回に分割して取得することもできます。休業開始予定日の２週間前までに、勤務先に書面で申し出てください。一定の条件を満たすと「出生時育児休業給付金」の支給を受けることができます。\n支払額は、休業開始時賃金日額ｘ休業期間の日数（28日が上限）ｘ67％です。\n→詳しくは勤務先所在地を管轄するハローワークへ\n産前産後の一定期間の年金、健康保険料が免除、軽減されます（2024年１月より）：・社会保険の加入者が産前産後休業・育児休業を取得する場合、休業中の健康保険料と厚生年金保険料が免除されます。 →詳しくは年金事務所へ\n★労働基準法により定められ、復職後使える制度\n※それぞれの制度には子どもの年齢の制限や勤務時間などの条件があるので勤務先に確認しましょう。\n育児時間\n雇用形態にかかわらずフルタイム勤務の女性労働者は、子どもが1歳未満までの間、休憩時間とは別に１日２回それぞれ少なくとも30分の育児時間を請求できます。育児時間は、勤務時間中でも、勤務時間始め、または終わりにとることもできます。\n短時間勤務制度、時間外労働・深夜業の免除\n男女共に育児する親は、勤務時間の短縮（原則６時間）や時間外、深夜労働（午後１０時から午前５時まで）などの免除を請求することもできます。\n看護休暇\n雇用形態にかかわりなく、小学校就学前の子を養育する労働者は、ケガや病気の子どもの世話や、予防接種や健康診断を受けさせるために、看護休暇を取得できます。小学校就学前の子が１人であれば１年に５日、２人以上であれば10日までの看護休暇を、年次有給休暇とは別に時間単位で取得できます。\n※看護休暇について、有給か無給かは勤務先の制度によって異なります。\n→　相談は滋賀労働局雇用環境・均等室　　℡ 077-523-1190""}, {""sid"": ""S4"", ""question"": ""子育て応援シリーズ➂ 仕事と育児の両立を応援！"", ""answer"": ""育児をしながら仕事を続けられるように、産後や育児のための休暇や、復職してから育児をサポートする制度があります。利用するには、雇用状況や加入している保険などについての条件があります。\n★雇用保険（社会保険）の被保険者が利用できる制度\n育児休業制度\n１歳に満たない子を養育するための休業制度です。１歳までの育児休業については、2回に分けて取得することも可能です。父母ともに育児休業を取得する場合や、保育所等に入れない場合には、育児休業期間を延長することもできます。休業開始予定日の１か月前までに、勤務先に書面で申し出てください。一定の条件を満たすと、休業期間中に「育児休業給付金」の支給を受けることができます。支払額は180日までは休業開始時賃金日額の67％、それ以降は50％です。\n出生時育児休業（産後パパ育休）制度\n原則的に男性を対象とした出生後の子を養育するための休業制度です。父親は子どもが生まれた日から８週間以内、４週間分まで取得でき、２回に分割して取得することもできます。休業開始予定日の２週間前までに、勤務先に書面で申し出てください。一定の条件を満たすと「出生時育児休業給付金」の支給を受けることができます。\n支払額は、休業開始時賃金日額ｘ休業期間の日数（28日が上限）ｘ67％です。\n→詳しくは勤務先所在地を管轄するハローワークへ\n産前産後の一定期間の年金、健康保険料が免除、軽減されます（2024年１月より）：・社会保険の加入者が産前産後休業・育児休業を取得する場合、休業中の健康保険料と厚生年金保険料が免除されます。 →詳しくは年金事務所へ\n★労働基準法により定められ、復職後使える制度\n※それぞれの制度には子どもの年齢の制限や勤務時間などの条件があるので勤務先に確認しましょう。\n育児時間\n雇用形態にかかわらずフルタイム勤務の女性労働者は、子どもが1歳未満までの間、休憩時間とは別に１日２回それぞれ少なくとも30分の育児時間を請求できます。育児時間は、勤務時間中でも、勤務時間始め、または終わりにとることもできます。\n短時間勤務制度、時間外労働・深夜業の免除\n男女共に育児する親は、勤務時間の短縮（原則６時間）や時間外、深夜労働（午後１０時から午前５時まで）などの免除を請求することもできます。\n看護休暇\n雇用形態にかかわりなく、小学校就学前の子を養育する労働者は、ケガや病気の子どもの世話や、予防接種や健康診断を受けさせるために、看護休暇を取得できます。小学校就学前の子が１人であれば１年に５日、２人以上であれば10日までの看護休暇を、年次有給休暇とは別に時間単位で取得できます。\n※看護休暇について、有給か無給かは勤務先の制度によって異なります。\n→　相談は滋賀労働局雇用環境・均等室　　℡ 077-523-1190""}]"
架空請求について,架空請求には注意してください。特に電子マネーを代金支払い手段として要求する請求は詐欺です。身に覚えのない請求には返信や連絡をせず、公式な窓口で確認してください。詳しくは金融庁の情報や消費者ホットライン等を活用してください。,"[{""sid"": ""S3"", ""question"": ""金融トラブルにご注意！！"", ""answer"": ""電子マネーのトラブル\nインターネット有料サイトの利用料金未納を騙った架空請求など、詐欺行為の支払手段として現金だけでなく、電子マネーを悪用した被害が急増しています。\n※预プリペイドカードなどの電子マネーは、相手にカードを渡さなくても、カードに記載された番号等を伝えるだけで電子マネーの価値を譲渡したことになります。\n詐欺です！：「コンビニで電子マネーカードを買って、カード番号を教えて。\n」\n！身に覚えのない請求等に返信、連絡しないでください。\n！事業者、法務省や裁判所などが「未納料金などの支払い」の名目で、　　コンビニで電子マネーカードを購入させることは絶対にありません。\nマネー・ロンダリング（犯罪に関係するお金を持っている人をわからなくすること）は違法です！\n詐欺です！：「このお金をあなたの口座から送金してほしいんです。一万円あげますから。」\n！口座を他人にあげるなどの行為は違法です。\n！違法な業者かどうか判断できない場合はその業者は使わないでください。\n　金融庁ウェブサイトの資金移動業者登録一覧に載っていない業者は違法です。\nここから確認できます→　https://www.fsa.go.jp/menkyo/menkyoj/shikin_idou.pdf\n。\nメール・SMS（ショートメッセージサービス）による被害防止対策として、あらかじめ受信拒否設定をしておくことが効果的です。\n！おかしいと思ったら、すぐに家族や友人、警察＃9110（警察相談専用電話）に相談！\n- 消費者ホットライン　　　　１８８　（日本語）\n- 訪日外国人観光客消費者ホットライン 03-5449-0906\n- 金融サービス利用者相談室0570-016811（从ＩＰ電話からは：03-5251-6811）\n- 英語ワンストップ窓口　　　email: equestion@fsa.go.jp""}]"
水漏れについて,申し訳ありませんが、提供された情報では“水漏れ”に関する滋賀県国際協会の公式情報を特定できません。水漏れ対応については、自治体の水道局や専門の業者へ相談することをお勧めします。必要であれば、滋賀県国際協会の公式発信を確認して関連情報を特定します。,[]
保護者に連絡したい,保護者に連絡したい場合は、学校や自治体の案内に従い、児童相談所虐待対応ダイヤル189を含む関係機関へ連絡してください。必要に応じてファミリー・サポート・センターや地域の児童館、地域子育て支援拠点などを利用し、連絡先を共有します。,"[{""sid"": ""S3"", ""question"": ""子育て応援シリーズ① 子どもが生まれたら"", ""answer"": ""子どもが生まれたらお住まいの役所で様々な手続きがあります。外国籍の子どもには、領事館（大使館）や出入国管理局での手続きも必要になります。\n役所でする手続き\n1. 出生届\n2. 児童手当\n3. 子どもの健康保険\n4. 福祉医療費助成（乳幼児）\n大使館・出入国管理局での手続き\n- 生まれてから30日以内に出入国管理局で子どもの在留許可申請をします。\n- 各国領事館 （大使館）で子どもの国籍を取得し、パスポートの申請をします。\n子どもとお母さんの健康のために\n出産後、子どもとお母さんの健康を定期的に確認します。子どもの各種健診や教室、訪問のほとんどが無料なので積極的に利用しましょう。心配なことがあれば相談しましょう。\n- 産後健診\n- 新生児訪問\n- 予防接種\n- 乳幼児健診\n- 離乳食教室\n子どもの成長、発達が気になる．．．\nまずは乳幼児健診の時やかかりつけ医に相談しましょう。\n市町の保健センター\n市町の発達支援室・センター (https://www.pref.shiga.lg.jp/file/attachment/5397382.pdf)\n発達障害に関する外国人保護者向けパンフレット\n発達障害情報・支援センター (http://www.rehab.go.jp/ddis/world/brochure/)\n育児の不安を相談したい．．．\n市町の家庭児童相談室　市町の役場で相談しましょう。\nこころんだいやる電話相談\nTEL： 077-524-2030\n（子ども・子育て応援センター　電話、または面接での相談ができます）\n児童相談所相談専用ダイヤル\nTEL：0120-189-783\n虐待かな．．．\n児童相談所虐待対応ダイヤル\nTEL：189\n子どもを一時的に預かってほしい．．．（事前登録要）\nファミリー・サポート・センター\nファミリー・サポート・センター (https://www.hugnavi.net/child/family.php)\n「子どもを預けたい人」と「子どもを預かりたい人」を結び付け、保育所までの送迎や、保護者の病気などの際に子どもを預かったりします。\n一時預かり事業\n保護者の病気や用事の時に子どもを保育所などで一時的に預かります。\n病児・病後児保育\n病児・病後児保育 (https://hugnavi.net/child/byouji.php)\n子どもが病気の際、保護者が家庭での保育が難しい場合に、医療機関や保育所等で子どもを一時的に保育します。\n働いているので子どもを保育所で預かってもらいたい．．．\n保育所、認定こども園、認可外子ども施設などで、０歳から子どもを預かってもらえます。施設の利用にはお住まいの市町から利用のための認定を受ける必要があります。市町の役場で相談しましょう。\n一人で子どもを育てています．．．\n経済支援、就労支援のほかに、家事や子育てのサポートが受けられます。\n市町の役場で相談しましょう。\n子どもとお出かけしたい．．．\n地域子育て支援拠点\n地域子育て支援拠点 (https://hugnavi.net/child/base.php)\n子育て中の親子が集い、相互交流や子育ての不安・悩みを相談できる場です。\n児童館\n児童館 (https://hugnavi.net/child/house.php)\n健全な遊びを通して、子どもの発達を援助していく施設です。\n♡滋賀県立びわ湖こどもの国\n滋賀県立びわ湖こどもの国 (http://www.biwa.ne.jp/~kodomo92/sp/index.html)\nたくさんの遊具がある大型の児童館です。　高島市安曇川町北船木\n悩みがあれば、相談しましょう！\n★言葉が心配なときは、「しが外国人相談センター」にお電話ください。\nTEL：077-523-5646\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～ (https://www.pref.shiga.lg.jp/ippan/kosodatekyouiku/kosodate/319567.html)\n滋賀で生まれた子どもやその家族へ「おめでとう、ありがとう」の思いをこめて、社会全体で出産・子育てを応援しているというメッセージとともに「ありがとうの贈り物」をお届けします。\n対象：１歳未満の赤ちゃん　※事前申し込みが必要です。""}, {""sid"": ""S4"", ""question"": ""[小学校デビューQ＆A] 保護者はどのように学校と関わりますか？"", ""answer"": ""小学校にはPTAや保護者会があります。保護者と教職員が協力し合い、学校に通う子どもたちの健全な成長を見守る活動を行うのが、主な目的です。活動を支えるための入会金も必要になります。学校によって活動内容や運営方法は様々なので、入学時の案内を確認してください。""}, {""sid"": ""S5"", ""question"": ""刑事事件を起こしてしまったら （事件・事故）"", ""answer"": ""被疑者の権利\n被疑者の権利として３つの権利が保障されています。\n1. 事実を知る権利\n2. 黙秘権\n3. 弁護人依頼権\n当番弁護士制度\n警察に逮捕、拘留された被疑者や家族の求めに応じて弁護士会が速やかに弁護士を被疑者のところに派遣する「当番弁護士」の制度があります。要請する場合ははっきりと申し出てください。\n滋賀弁護士会　当番弁護士専用電話　　TEL　077-522-2013\n民事法律扶助制度\n経済的に困っている人には、日本司法支援センター　(法テラス)　がありますので、当番弁護士が接見に来た際に相談してください 。\n法テラス [多言語ダイヤル]　TEL 0570-078-377\n法テラス [多言語] (http://www.houterasu.or.jp/multilingual/)\n国選弁護人\n起訴後、被告人は裁判のための弁護人を依頼することができます。経済的に無理な場合は、依頼すれば政府の国選弁護人をつけてくれます。""}]"
