相談内容,回答内容,回答に使用したQA資料
クレジットカードについて,クレジットカードに関する内容は、提供された情報内には直接触れられていません。滋賀県国際協会の情報の根拠として挙げられているのは、電子マネーのトラブルと未納請求の詐欺対策、マイナンバー関連情報などです。クレジットカードに関する具体的な注意点や手続きについては、掲載ソースには含まれていないため、現時点での事実ベースの回答はできません。必要であれば、該当する公式情報を別途ご案内します（例：金融庁や警察の詐欺対策情報など）。,"[{""sid"": ""S1"", ""question"": ""金融トラブルにご注意！！"", ""answer"": ""電子マネーのトラブル\nインターネット有料サイトの利用料金未納を騙った架空請求など、詐欺行為の支払手段として現金だけでなく、電子マネーを悪用した被害が急増しています。\n※预プリペイドカードなどの電子マネーは、相手にカードを渡さなくても、カードに記載された番号等を伝えるだけで電子マネーの価値を譲渡したことになります。\n詐欺です！：「コンビニで電子マネーカードを買って、カード番号を教えて。\n」\n！身に覚えのない請求等に返信、連絡しないでください。\n！事業者、法務省や裁判所などが「未納料金などの支払い」の名目で、　　コンビニで電子マネーカードを購入させることは絶対にありません。\nマネー・ロンダリング（犯罪に関係するお金を持っている人をわからなくすること）は違法です！\n詐欺です！：「このお金をあなたの口座から送金してほしいんです。一万円あげますから。」\n！口座を他人にあげるなどの行為は違法です。\n！違法な業者かどうか判断できない場合はその業者は使わないでください。\n　金融庁ウェブサイトの資金移動業者登録一覧に載っていない業者は違法です。\nここから確認できます→　https://www.fsa.go.jp/menkyo/menkyoj/shikin_idou.pdf\n。\nメール・SMS（ショートメッセージサービス）による被害防止対策として、あらかじめ受信拒否設定をしておくことが効果的です。\n！おかしいと思ったら、すぐに家族や友人、警察＃9110（警察相談専用電話）に相談！\n- 消費者ホットライン　　　　１８８　（日本語）\n- 訪日外国人観光客消費者ホットライン 03-5449-0906\n- 金融サービス利用者相談室0570-016811（从ＩＰ電話からは：03-5251-6811）\n- 英語ワンストップ窓口　　　email: equestion@fsa.go.jp""}]"
母と娘の対立,母と娘の対立については、まず家庭裁判所の調停を検討できます。大津家庭裁判所、彦根支部、長浜支部のいずれかに連絡して調停の手続きを進められます。問い合わせ先は下記です。- 大津家庭裁判所 077-503-8151 - 大津家庭裁判所 彦根支部 0749-22-0167 - 大津家庭裁判所 長浜支部 0749-62-0240 - 京都外国人の夫婦と親子に関する紛争解決センター 075-692-3555,"[{""sid"": ""S1"", ""question"": ""離婚についての話し合いがうまくいきません。"", ""answer"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}]"
フィリピンに送る荷物,滋賀県国際協会の情報だけで事実ベースで回答します。ペットをフィリピンへ送る場合の具体的な荷物の取り扱い・必要書類は、動物検疫所を含む日本の外交・検疫手続きに従います。出発前に動物検疫所へ連絡して、輸出要件・受入国の受入検査・証明書等の要件を確認してください。到着国の規定にも適合させる必要があります。できるだけ早めに動物検疫所に相談してください。,"[{""sid"": ""S1"", ""question"": ""ペットを出国、入国させる場合は？"", ""answer"": ""ペットを海外へ連れて行ったり、持ち帰ったりするときは、日本と相手国に入るための条件をクリアする必要があります。手続きに時間がかかるので、できるだけ早く動物検疫所に連絡してください。\n動物検疫所 (http://www.maff.go.jp/aqs/animal/index.html)""}]"
カードの暗証番号,ご質問の「カードの暗証番号」について、提供された情報（S1〜S5）にはマイナンバーカードの暗証番号の取り扱いに関する記載は含まれていません。従って、滋賀県国際協会の情報だけを根拠に簡潔にお答えすることはできません。正確な暗証番号の取り扱いは発行元の案内や公式窓口にご確認ください。,"[{""sid"": ""S1"", ""question"": ""マイナンバーカードを健康保険証として利用できます！"", ""answer"": ""専用のカードリーダーが設置された医療機関・薬局で、マイナンバーカードが健康保険証として利用できるようになります。事前申し込みが必要です。\nマイナンバー総合フリーダイヤル\n℡　０１２０－９５－０１７８（日本語のみ）\n℡　０１２０－０１７８－２６（英語、中国語、韓国語、スペイン語、ポルトガル語）\nお住まいの市町にお問い合わせください。""}]"
貸付金の返済減額とエアコンの設置,"滋賀県国際協会の情報のみを根拠に簡潔に回答します。貸付金の返済減額については、提供された情報には具体的な減額制度の記述はありません。教育資金の制度については、低所得者世帯向けの教育支援金（無利子）、ひとり親家庭等向けの貸付（無利子）などが案内されていますが、返済減額の制度やエアコン設置の補助についての記述はありません。エアコンの設置についても、同様に該当する補助情報は見当たりません。賃貸契約に関する一般的な費用（敷金、礼金、仲介手数料）についてはS1の内容に基づきご案内できます。""","[{""sid"": ""S1"", ""question"": ""賃貸住居"", ""answer"": ""家やアパートを借りたい場合は、不動産業者に相談してください。\n\n契約に必要とされるのは\n敷金\n家賃支払いの担保として家主に預けておくお金です。退去する際に返金されるものです。未払い賃料および借りていた家の中に損害がある場合は、その修理費をさし引かれますが、残高が戻ります。\n礼金\n家主に支払う一時金で返金されないもの。\n報酬\n不動産業者に仲介を依頼した時は、通常1ヶ月分が必要です。""}]"
英語で受けれるウンセリングについて,滋賀県内で英語で受けられるカウンセリング情報は、本文のS1〜S5には明示されていません。英語対応の具体的な窓口が知りたい場合は、滋賀県の公式窓口に直接問い合わせるか、日本語対応の窓口への相談を通じて英語対応の案内を依頼してください。,"[{""sid"": ""S1"", ""question"": ""エイズの無料相談・検査のお知らせ"", ""answer"": ""- 匿名で検査を受けられます。\n- 梅毒の検査も一緒にできます。\n- 曜日・時間：HPで確認してください\n- 場所：県内保健所（大津市・草津・甲賀・東近江・彦根・長浜・高島）\n- 検査は電話予約が必要です。\n- 当日に検査結果をお渡しできない場合があります。（２～３週間後）\n問合せ先\n県内保健所（日本語のみ対応可能）\nしが外国人相談センター（日本語以外）\nTel 077-523-5646""}]"
妻と子の帰国について,滋賀県内の手続きや支援については、出生届・児童手当・健康保険・福祉医療費助成など役所での手続きが基本です。国外在留の子どもについては在留許可申請や国籍取得・パスポート申請が必要になります。帰国に関する具体的な手続きや期限は、滋賀県の窓口（市町役場・滋賀労働局など）で確認してください。,"[{""sid"": ""S1"", ""question"": ""子育て応援シリーズ① 子どもが生まれたら"", ""answer"": ""子どもが生まれたらお住まいの役所で様々な手続きがあります。外国籍の子どもには、領事館（大使館）や出入国管理局での手続きも必要になります。\n役所でする手続き\n1. 出生届\n2. 児童手当\n3. 子どもの健康保険\n4. 福祉医療費助成（乳幼児）\n大使館・出入国管理局での手続き\n- 生まれてから30日以内に出入国管理局で子どもの在留許可申請をします。\n- 各国領事館 （大使館）で子どもの国籍を取得し、パスポートの申請をします。\n子どもとお母さんの健康のために\n出産後、子どもとお母さんの健康を定期的に確認します。子どもの各種健診や教室、訪問のほとんどが無料なので積極的に利用しましょう。心配なことがあれば相談しましょう。\n- 産後健診\n- 新生児訪問\n- 予防接種\n- 乳幼児健診\n- 離乳食教室\n子どもの成長、発達が気になる．．．\nまずは乳幼児健診の時やかかりつけ医に相談しましょう。\n市町の保健センター\n市町の発達支援室・センター (https://www.pref.shiga.lg.jp/file/attachment/5397382.pdf)\n発達障害に関する外国人保護者向けパンフレット\n発達障害情報・支援センター (http://www.rehab.go.jp/ddis/world/brochure/)\n育児の不安を相談したい．．．\n市町の家庭児童相談室　市町の役場で相談しましょう。\nこころんだいやる電話相談\nTEL： 077-524-2030\n（子ども・子育て応援センター　電話、または面接での相談ができます）\n児童相談所相談専用ダイヤル\nTEL：0120-189-783\n虐待かな．．．\n児童相談所虐待対応ダイヤル\nTEL：189\n子どもを一時的に預かってほしい．．．（事前登録要）\nファミリー・サポート・センター\nファミリー・サポート・センター (https://www.hugnavi.net/child/family.php)\n「子どもを預けたい人」と「子どもを預かりたい人」を結び付け、保育所までの送迎や、保護者の病気などの際に子どもを預かったりします。\n一時預かり事業\n保護者の病気や用事の時に子どもを保育所などで一時的に預かります。\n病児・病後児保育\n病児・病後児保育 (https://hugnavi.net/child/byouji.php)\n子どもが病気の際、保護者が家庭での保育が難しい場合に、医療機関や保育所等で子どもを一時的に保育します。\n働いているので子どもを保育所で預かってもらいたい．．．\n保育所、認定こども園、認可外子ども施設などで、０歳から子どもを預かってもらえます。施設の利用にはお住まいの市町から利用のための認定を受ける必要があります。市町の役場で相談しましょう。\n一人で子どもを育てています．．．\n経済支援、就労支援のほかに、家事や子育てのサポートが受けられます。\n市町の役場で相談しましょう。\n子どもとお出かけしたい．．．\n地域子育て支援拠点\n地域子育て支援拠点 (https://hugnavi.net/child/base.php)\n子育て中の親子が集い、相互交流や子育ての不安・悩みを相談できる場です。\n児童館\n児童館 (https://hugnavi.net/child/house.php)\n健全な遊びを通して、子どもの発達を援助していく施設です。\n♡滋賀県立びわ湖こどもの国\n滋賀県立びわ湖こどもの国 (http://www.biwa.ne.jp/~kodomo92/sp/index.html)\nたくさんの遊具がある大型の児童館です。　高島市安曇川町北船木\n悩みがあれば、相談しましょう！\n★言葉が心配なときは、「しが外国人相談センター」にお電話ください。\nTEL：077-523-5646\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～ (https://www.pref.shiga.lg.jp/ippan/kosodatekyouiku/kosodate/319567.html)\n滋賀で生まれた子どもやその家族へ「おめでとう、ありがとう」の思いをこめて、社会全体で出産・子育てを応援しているというメッセージとともに「ありがとうの贈り物」をお届けします。\n対象：１歳未満の赤ちゃん　※事前申し込みが必要です。""}]"
年金についての通訳,滋賀県国際協会の情報に基づくと、年金に関する相談窓口として、ねんきんダイヤル（0570-05-1165または03-6700-1165）、草津市の街角の年金相談センター、草津年金事務所、大津年金事務所、彦根年金事務所などが案内されています。なお、年金記録の確認にはねんきんネットの利用や、定期便の案内があります。通訳が必要な場合、各窓口で日本語以外の対応が可能かを事前に確認してください。出典S4およびS2/S3に基づく情報です。,"[{""sid"": ""S2"", ""question"": ""自分の年金情報をチェック！"", ""answer"": ""毎年1回、誕生月に国民年金および厚生年金保険の加入者（被保険者）には、年金加入記録の確認のため、「ねんきん定期便」が届きます。届出住所が現住所と異なっている場合、「ねんきん定期便」が届きませんので、住所が変った場合は住所変更を届け出ましょう。\n年金記録の確認は\nねんきんネット (https://www.nenkin.go.jp/n_net/index.html)\n年金定期便・年金専用ダイヤル　℡　0570-058-555\n★\t保険料納付期間が１０年に満たない方も年金事務所で確認しましょう！ 年金記録に漏れがないか。（基礎年金番号が他にないか。別の氏名で登録されたものがないか。 合算対象期間がないか。（特に永住者、日本国籍の方は海外の滞在期間が合算されます。）\n★\t資格期間を満たすために次のような方法があります。 ６０歳から６５歳まで国民年金に任意加入する。（1965年4月1日以前生まれの方は最長７０歳まで任意加入できます） 国民年金後納制度を使い未納期間を解消する。（2018年9月30日まで５年後納制度が適用されます）""}, {""sid"": ""S3"", ""question"": ""老齢年金"", ""answer"": ""老齢年金では、どの人にも共通な基礎となる年金を老齢基礎年金といいます。国民年金の加入者は、この老齢基礎年金を受給しますが、厚生年金の加入者は、これに厚生年金部分を加算した金額を受給します。老齢基礎年金は、６０歳まで４０年間保険料を全額支払った場合、年間(779,300円（2017年度）の満額の年金額になります。老齢年金を受給するための年齢はこれまでどおりで６５歳からですが、希望すれば繰り上げ支給や繰り下げ支給もあります。また、厚生年金では、６０歳から６５歳まで、生年月日や性別など一定の要件に基づき、特別支給の老齢厚生年金が支給されます。""}, {""sid"": ""S4"", ""question"": ""年金の相談は"", ""answer"": ""- ねんきんダイヤル ℡ 0570-05-1165　　　IP電話・PHS: ℡ 03-6700-1165\n- 街角の年金相談センター草津（草津市渋川1-1-50） ℡　077-564-4311\n- 大津年金事務所（大津市打出浜13-5） ℡ 077-521-1789\n- 草津年金事務所（草津市西渋川1-16-35） ℡ 077-567-2220\n- 彦根年金事務所（彦根市外町169-6） ℡ 0749-23-1114""}]"
弁護士面談通訳,滋賀弁護士会の当番弁護士制度をご案内します。被疑者の権利や弁護人依頼権については法的事項を含みますが、弁護士面談の通訳については明記がありません。多言語ダイヤルや国際窓口を活用することをおすすめします。滋賀弁護士会の当番弁護士専用電話は077-522-2013です。法テラスの多言語ダイヤルもご利用ください。,"[{""sid"": ""S1"", ""question"": ""法律についての相談は"", ""answer"": ""法テラス\n℡　0570-078374（日本語）\n℡　0570-078377（英語、中国語、韓国語、スペイン語、ポルトガル語、ベトナム語、タガログ語)\n℡　03-5366-6008（多言語ダイヤル）\n法テラス滋賀\n大津市浜大津1-2-22　大津商中日生ビル５Ｆ\n℡　050-3383-5454\n滋賀弁護士会\n大津市梅林１-３-３""}, {""sid"": ""S3"", ""question"": ""刑事事件を起こしてしまったら （事件・事故）"", ""answer"": ""被疑者の権利\n被疑者の権利として３つの権利が保障されています。\n1. 事実を知る権利\n2. 黙秘権\n3. 弁護人依頼権\n当番弁護士制度\n警察に逮捕、拘留された被疑者や家族の求めに応じて弁護士会が速やかに弁護士を被疑者のところに派遣する「当番弁護士」の制度があります。要請する場合ははっきりと申し出てください。\n滋賀弁護士会　当番弁護士専用電話　　TEL　077-522-2013\n民事法律扶助制度\n経済的に困っている人には、日本司法支援センター　(法テラス)　がありますので、当番弁護士が接見に来た際に相談してください 。\n法テラス [多言語ダイヤル]　TEL 0570-078-377\n法テラス [多言語] (http://www.houterasu.or.jp/multilingual/)\n国選弁護人\n起訴後、被告人は裁判のための弁護人を依頼することができます。経済的に無理な場合は、依頼すれば政府の国選弁護人をつけてくれます。""}]"
貸付金の返済減額とエアコンの設置,滋賀県国際協会の情報には、貸付金の返済減額やエアコン設置に関する具体的な手続き・制度の記載はありません。教育資金・教育ローン等の案内はありますが、返済減額やエアコン設置の支援については記載されていないため、該当事項の確認は他の公的機関や自治体窓口にご相談ください。,"[{""sid"": ""S1"", ""question"": ""賃貸住居"", ""answer"": ""家やアパートを借りたい場合は、不動産業者に相談してください。\n\n契約に必要とされるのは\n敷金\n家賃支払いの担保として家主に預けておくお金です。退去する際に返金されるものです。未払い賃料および借りていた家の中に損害がある場合は、その修理費をさし引かれますが、残高が戻ります。\n礼金\n家主に支払う一時金で返金されないもの。\n報酬\n不動産業者に仲介を依頼した時は、通常1ヶ月分が必要です。""}]"
