相談内容,回答内容,回答に使用したQA資料
税金の支払,滋賀県の税金について、支払の考え方は以下の通りです。①不動産取得税、固定資産税は不動産の取得者・所有者へ課税されます（S1の内容を参照）。②自動車税は車の所有者に課税されます（S1）。③住民税は滋賀県の居住者が支払い、1月1日現在の住所地の市町村へ申告・納付します（S3）。④所得税は個人の所得に対して課税され、給与所得控除などを踏まえ申告の要・不要が給与収入条件で決まります。確定申告は原則毎年2月下旬〜3月中旬ですが、控除等の訂正や事業所得・複数所得がある場合に提出します（S2、S4、S5参照）。,"[{""sid"": ""S1"", ""question"": ""様々な税金"", ""answer"": ""不動産取得税\n不動産取得税は不動産の取得者に課せられます。\n自動車税\nすべての自動車の所有者に課せられます。（滋賀県自動車税務署）\n軽自動車税\n軽自動車の所有者に課せられます。（各市町村税務担当課）\n固定資産税\n固定資産税は、毎年1月1日に土地、家屋などを所有しているものに課せられます。""}, {""sid"": ""S2"", ""question"": ""所得税"", ""answer"": ""所得のある人は所得税を納めなければなりません。所得は国籍に関わらず1月1日から1年間に得た個人所得のすべてに課税されます。しかし外国人の税金は滞在期間や職種などにより、次のとおりの方法で扱われます。\n- 日本に住所を持ち、または日本に引き続き1年以上居所を有する者や日本に永住しようとしている者で現在まで引き続き5年以上滞在しているものは、外国と日本の所得の両方に基づく税を支払います。\n- 日本に住所を有し、または現在まで引き続いて1年以上居所を有する個人で、日本に永住するつもりがなくかつ現在まで引き続いて5年以内滞在の一時的な居住者は、日本の所得と海外から送られてきたお金に基づく税を支払います。\n- 日本に1年以内の滞在期間で住所を持たないものは、日本の所得だけに基づく税を払います。\n納税者は管轄されている税務署で確定申告を提出します。申告の期間は2月16日から3月15日です。給与収入2000万円以下の給与所得の場合の所得税は、給与から直接差し引かれますので、通常給与所得者は所得税の申告書を提出する必要はありません。""}, {""sid"": ""S3"", ""question"": ""住民税"", ""answer"": ""滋賀県の居住者は、県民税と市町村民税を支払います。これらの税は住民税といわれ、住所地の市町村を管轄する税務署に提出されている確定申告などに基づいて計算されます。住民税は国籍に関わらず、1月1日から1年間に得た個人所得のすべてに課税されます。外国人の税金は、滞在期間や職種などにより別の方法で扱われます。\n\n住民税は次のように課税されます。\n- 国籍に関わらず、1月1日に日本に住所をもち、1年以上日本に滞在する場合。\n- 1月1日現在１年以内の居住期間でも、入国後継続して1年以上日本に居住することを通常必要とする職業を有する場合。\n住民税を支払うため、1月1日現在に住所地のある市町村へ申告しなければなりません。""}, {""sid"": ""S4"", ""question"": ""確定申告　2025年2月17日（月）～3月17日（月）"", ""answer"": ""多額の医療費を支払った、住宅ローンがあるなど控除額に訂正がある場合や事業所得者、複数の場所で所得がある方は税務署で確定申告をしましょう。""}, {""sid"": ""S5"", ""question"": ""確定申告は、2020年2月17日(月)～4月16日(木)　＊延長されました"", ""answer"": ""多額の医療費を支払った、住宅をローンで購入したなど控除額に訂正や源泉徴収されていない収入がある等の場合や事業所得者、複数の場所で所得がある方は税務署で確定申告をしましょう。""}]"
銀行落としの支払の確認,銀行振込の“銀行落とし”という支払方法について、提示された情報S1～S5には直接の記載がありません。そのため、滋賀県国際協会の情報のみを根拠に事実ベースで回答することが難しい状況です。よろしければ、具体的な文言や出典を示していただくか、関連するS1～S5の範囲内で再質問してください。,"[{""sid"": ""S1"", ""question"": ""金融トラブルにご注意！！"", ""answer"": ""電子マネーのトラブル\nインターネット有料サイトの利用料金未納を騙った架空請求など、詐欺行為の支払手段として現金だけでなく、電子マネーを悪用した被害が急増しています。\n※※プリペイドカードなどの電子マネーは、相手にカードを渡さなくても、カードに記載された番号等を伝えるだけで電子マネーの価値を譲渡したことになります。\n詐欺です！：コンビニで電子マネーカードを買って、カード番号を教えて。\n！身に覚えのない請求等に返信、連絡しないでください。\n！事業者、法務省や裁判所などが「未納料金などの支払い」の名目で、　　コンビニで電子マネーカードを購入させることは絶対にありません。\nマネー・ロンダリング（犯罪に関係するお金を持っている人をわからなくすること）は違法です！\n詐欺です！：「このお金をあなたの口座から送金してほしいんです。一万円あげますから。」\n！口座を他人にあげるなどの行為は違法です。\n！違法な業者かどうか判断できない場合はその業者は使わないでください。\n　金融庁ウェブサイトの資金移動業者登録一覧に載っていない業者は違法です。\n　ここから確認できます\nメール・SMS（ショートメッセージサービス）による被害防止対策として、あらかじめ受信拒否設定をしておくことが効果的です。\n！おかしいと思ったら、すぐに家族や友人、警察＃9110（警察相談専用電話）に相談！\n- 消費者ホットライン　　　　１８８　（日本語）\n- 訪日外国人観光客消費者ホットライン 03-5449-0906 英語・中国語・韓国語・タイ語・ベトナム語・フランス語・日本語\n- 金融サービス利用者相談室0570-016811（从ＩＰ電話からは：03-5251-6811）\n- 英語ワンストップ窓口 　　　email: equestion@fsa.go.jp""}]"
押収自転車について,滋賀県では自転車利用者は自転車損害賠償保険等への加入が義務づけられており、自転車は車道の左側を走ります。押収自転車に関する具体的な処遇はこの情報源には記載がありません。S1の自転車のヘルメット着用や名義変更などの内容が挙げられています。,"[{""sid"": ""S1"", ""question"": ""二輪車のルールを知ってますか？"", ""answer"": ""自転車用ヘルメットの着用について\n道路交通法の一部を改正する法律の施行により、2023年4月1日から\n自転車利用者のヘルメット着用が努力義務になりました。\n。\n【自転車の運転者等の遵守事項】\n1. 自転車の運転者は、乗車用ヘルメットをかぶるよう努めなければなりません。\n2. 自転車の運転者は、子どもを乗せる場合、または他人に自転車を貸す場合は、その人に乗車用ヘルメットをかぶらせるよう努(つと)めなければなりません。\n3. 保護者の方は、児童や幼児が自転車を運転するときは、ヘルメットをかぶらせるよう努めなければなりません。\nバイク購入時の手続きについて\n販売店で原付バイクを購入すれば手続きはすべて行ってくれます。しかし、知人や友人、ネットオークションなどで中古バイクを譲り受けた場合は、自分で名義変更等の手続きをします。\n名義変更（登録）の手続きをする方法\nバイクの名義変更（登録）の方法は、バイクの排気量によって異なります。\n☆☆\t☆\t原付バイク（50～125cc）\n新しい所有者が住民登録をしている市役所で手続きできます。\n☆☆\t☆\t軽二輪バイク、中型・大型バイク（12６cc以上）\n新しい所有者の住所を管轄している運輸支局（陸運局）で手続きをします。\n滋賀運輸支局：守山市木浜町2298番地の5\n登録検査手続き案内：050-5540-2064\n! \t\t個人売買の基本ルールとしては買い手側が名義変更の手続きを行いますが、友人から買う場合は一緒に陸運局や役所に手続きに行く方法もあります。\n自賠責保険への加入\nバイク保険は「自賠責保険」と「任意保険」の二種類があります。\nバイクを購入すると自賠責保険への加入が必須です。\n自賠責保険は人身事故の補償を対象とした強制加入のもので、未加入運転の場合には罰則があります。また、加入は義務ではありませんが、被害者と加害者両方を補償できる任意保険に加入しておくと安心です。""}]"
保護者との連絡について,滋賀県国際協会の情報に基づくと、保護者との連絡についての具体的な記載はS1〜S5の中には見当たりません。よって、保護者と学校・関係機関との連絡に関する一般的な指針の提供は控え、必要であれば該当の学校や市町の窓口へ直接ご確認ください。,"[{""sid"": ""S1"", ""question"": ""ペットが行方不明になったり、保護した場合は？"", ""answer"": ""動物愛護センターや最寄りの交番か警察署に連絡しましょう。""}, {""sid"": ""S2"", ""question"": ""[小学校デビューQ＆A] 保護者はどのように学校と関わりますか？"", ""answer"": ""小学校にはPTAや保護者会があります。保護者と教職員が協力し合い、学校に通う子どもたちの健全な成長を見守る活動を行うのが、主な目的です。活動を支えるための入会金も必要になります。学校によって活動内容や運営方法は様々なので、入学時の案内を確認してください。""}, {""sid"": ""S3"", ""question"": ""児童虐待の疑いがある場合はすぐに連絡しましょう"", ""answer"": ""虐待ホットライン（24時間対応）\n電話 : 077-562-8996　（日本語）\n中央子ども家庭相談センター\n草津市笠山七丁目4番45号　　電話: 077-562-1121\n彦根子ども家庭相談センター\n彦根市小泉町932-1　　電話: 0749-24-3741\n大津・高島子ども家庭相談センター\n大津市におの浜4-4-5　　電話: 077-548-7768\n児童相談所全国共通ダイヤル（24時間対応）\n電話：189""}, {""sid"": ""S4"", ""question"": ""刑事事件を起こしてしまったら （事件・事故）"", ""answer"": ""被疑者の権利\n被疑者の権利として３つの権利が保障されています。\n1. 事実を知る権利\n2. 黙秘権\n3. 弁護人依頼権\n当番弁護士制度\n警察に逮捕、拘留された被疑者や家族の求めに応じて弁護士会が速やかに弁護士を被疑者のところに派遣する「当番弁護士」の制度があります。要請する場合ははっきりと申し出てください。\n滋賀弁護士会　当番弁護士専用電話　　TEL　077-522-2013\n民事法律扶助制度\n経済的に困っている人には、日本司法支援センター　(法テラス)　がありますので、当番弁護士が接見に来た際に相談してください 。\n法テラス [多言語ダイヤル]　TEL 0570-078-377\n法テラス [多言語] (http://www.houterasu.or.jp/multilingual/)\n国選弁護人\n起訴後、被告人は裁判のための弁護人を依頼することができます。経済的に無理な場合は、依頼すれば政府の国選弁護人をつけてくれます。""}, {""sid"": ""S5"", ""question"": ""子育て応援シリーズ① 子どもが生まれたら"", ""answer"": ""子どもが生まれたらお住まいの役所で様々な手続きがあります。外国籍の子どもには、領事館（大使館）や出入国管理局での手続きも必要になります。\n役所でする手続き\n1. 出生届\n2. 児童手当\n3. 子どもの健康保険\n4. 福祉医療費助成（乳幼児）\n大使館・出入国管理局での手続き\n- 生まれてから30日以内に出入国管理局で子どもの在留許可申請をします。\n- 各国領事館 （大使館）で子どもの国籍を取得し、パスポートの申請をします。\n子どもとお母さんの健康のために\n出産後、子どもとお母さんの健康を定期的に確認します。子どもの各種健診や教室、訪問のほとんどが無料なので積極的に利用しましょう。心配なことがあれば相談しましょう。\n- 産後健診\n- 新生児訪問\n- 予防接種\n- 乳幼児健診\n- 離乳食教室\n子どもの成長、発達が気になる．．．\nまずは乳幼児健診の時やかかりつけ医に相談しましょう。\n市町の保健センター\n市町の発達支援室・センター (https://www.pref.shiga.lg.jp/file/attachment/5397382.pdf)\n発達障害に関する外国人保護者向けパンフレット\n発達障害情報・支援センター (http://www.rehab.go.jp/ddis/world/brochure/)\n育児の不安を相談したい．．．\n市町の家庭児童相談室　市町の役場で相談しましょう。\nこころんだいやる電話相談\nTEL： 077-524-2030\n（子ども・子育て応援センター　電話、または面接での相談ができます）\n児童相談所相談専用ダイヤル\nTEL：0120-189-783\n虐待かな．．．\n児童相談所虐待対応ダイヤル\nTEL：189\n子どもを一時的に預かってほしい．．．（事前登録要）\nファミリー・サポート・センター\nファミリー・サポート・センター (https://www.hugnavi.net/child/family.php)\n「子どもを預けたい人」と「子どもを預かりたい人」を結び付け、保育所までの送迎や、保護者の病気などの際に子どもを預かったりします。\n一時預かり事業\n保護者の病気や用事の時に子どもを保育所などで一時的に預かります。\n病児・病後児保育\n病児・病後児保育 (https://hugnavi.net/child/byouji.php)\n子どもが病気の際、保護者が家庭での保育が難しい場合に、医療機関や保育所等で子どもを一時的に保育します。\n働いているので子どもを保育所で預かってもらいたい．．．\n保育所、認定こども園、認可外子ども施設などで、０歳から子どもを預かってもらえます。施設の利用にはお住まいの市町から利用のための認定を受ける必要があります。市町の役場で相談しましょう。\n一人で子どもを育てています．．．\n経済支援、就労支援のほかに、家事や子育てのサポートが受けられます。\n市町の役場で相談しましょう。\n子どもとお出かけしたい．．．\n地域子育て支援拠点\n地域子育て支援拠点 (https://hugnavi.net/child/base.php)\n子育て中の親子が集い、相互交流や子育ての不安・悩みを相談できる場です。\n児童館\n児童館 (https://hugnavi.net/child/house.php)\n健全な遊びを通して、子どもの発達を援助していく施設です。\n♡滋賀県立びわ湖こどもの国\n滋賀県立びわ湖こどもの国 (http://www.biwa.ne.jp/~kodomo92/sp/index.html)\nたくさんの遊具がある大型の児童館です。　高島市安曇川町北船木\n悩みがあれば、相談しましょう！\n★言葉が心配なときは、「しが外国人相談センター」にお電話ください。\nTEL：077-523-5646\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～ (https://www.pref.shiga.lg.jp/ippan/kosodatekyouiku/kosodate/319567.html)\n滋賀で生まれた子どもやその家族へ「おめでとう、ありがとう」の思いをこめて、社会全体で出産・子育てを応援しているというメッセージとともに「ありがとうの贈り物」をお届けします。\n対象：１歳未満の赤ちゃん　※事前申し込みが必要です。""}]"
職場内での嫌がらせ,滋賀県内の職場での嫌がらせに関しては、労働条件の適正化やハラスメント対策は法令で定められており、相談窓口として滋賀労働局の雇用環境・均等室（TEL 077-523-1190）や労働条件相談ホットライン、多言語相談が案内されています。必要に応じて、雇用契約書の内容確認と配慮のある就業環境の確保を事業主に求めることが推奨されます。,"[{""sid"": ""S1"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}]"
不法滞在者への対応について,滋賀県国際協会の情報によると、不法滞在は在留期間が経過した状態のことを指し、原則として5年間は日本への再入国ができません。期間切れの不法滞在には自主出頭の場合と逮捕の場合があり、それぞれ手続きが異なります。自主出頭なら起訴されず自ら帰国します。逮捕された場合は入国管理法違反として10日以内に引渡しまたは起訴されることがあり、起訴されれば裁判となり約1か月半程度拘置後、強制送還の可能性があります。病気等でやむを得ず不法滞在が短期間の場合は期間更新の手続きをとって出国します。これらは滋賀県の情報に基づく要点です。,"[{""sid"": ""S1"", ""question"": ""在留期間を経過するとどうなるのですか？"", ""answer"": ""在留期間が経過すると入国管理法における「不法滞在」になります。この場合、原則として5年間は日本への再入国ができません。退去強制処分を受けた事由（犯罪行為の種類、刑の軽重等）によっては、永久に入国できない場合もあります。\n退去強制\n在留期間切れのまま、故意にとどまっている場合に適用されます。自主出頭の場合と逮捕された場合で手続き等が異なります。\n自主出頭の場合\n警察に捕まる前に入国管理局に出頭した場合、起訴はされずに自分で帰国することになります。\n逮捕された場合\n入国管理法違反ということで、10日以内に入国管理局に引き渡される場合と起訴される場合があります。起訴された場合は裁判になりますので、判決が出るまで通常約１カ月半、拘置所又は警察署で拘置された後、入国管理局に移管され、強制送還となります。\n通常出国\n本人が病気等、やむを得ない事でごく短期間「不法滞在」の状態になっている場合は、期間更新の手続きをとり、その後出国することになります。""}]"
夫が家を出て生活費を入れてくれない,"ご夫婦の家計や生活費の問題は個別の状況によりますが、滋賀県国際協会の情報源として提供されている範囲では、賃貸契約に関する基本情報（敷金・礼金・仲介手数料等）や健康保険・出産給付、生活支援などの制度は挙げられています。ただし、配偶者が生活費を出さない場合の法的対応や具体的な手続きについての記載はS1〜S5には含まれていません。まずはご自身の状況を把握するため、住まいの安定を図る観点では以下を検討してください。
- 住居の賃貸状況：契約時の敷金・礼金・仲介料の基本を確認し、家計が厳しい場合は自治体の福祉課等へ相談することを検討してください（S1参照）。
- 生活保護などの公的支援の活用可能性：滋賀県内の支援制度を地元自治体へ相談してください。S4では住居確保給付金の案内が示されています（ただし、対象要件は個別に確認が必要です）。
- 健康保険や出産給付などの公的給付は、家計の安定に寄与する可能性があります。S2/S3の情報を必要に応じて確認してください。
- 離婚・別居・子どもの養育費など法的措置が必要になる場合は、専門家への相談を推奨します。滋賀県国際協会の公式情報の範囲では具体的な離婚や養育費の取り決め手続きは示されていません。必要であれば、法的支援機関や市町の窓口へ相談してください。","[{""sid"": ""S1"", ""question"": ""賃貸住居"", ""answer"": ""家やアパートを借りたい場合は、不動産業者に相談してください。\n\n契約に必要とされるのは\n敷金\n家賃支払いの担保として家主に預けておくお金です。退去する際に返金されるものです。未払い賃料および借りていた家の中に損害がある場合は、その修理費をさし引かれますが、残高が戻ります。\n礼金\n家主に支払う一時金で返金されないもの。\n報酬\n不動産業者に仲介を依頼した時は、通常1ヶ月分が必要です。""}, {""sid"": ""S2"", ""question"": ""【健康保険シリーズ5】子どもが生まれたら"", ""answer"": ""健康保険は病気になったときの給付だけではありません。他にもさまざまな給付があります。今日はその中でも、出産にかかわる健康保険からの給付をご紹介します。出産を控えている方にはぜひ知っておいて欲しい制度です。\n出産は保険が使えるの？「出産育児一時金」\n正常な妊娠・出産は病気ではありませんので、健康保険の対象外となります。3割負担での受診はできません。\nしかし「出産育児一時金」の直接払いの手続きをすれば、出産費用が補助されます。\n病院では補助される額を超えた分のみの費用負担で済みます。\n補助額\n一児につき50万円\n（重度の脳性麻痺を保障する制度に加入していない病院では４8.８万円）\n対象者\n妊娠４ヵ月（８５日）以降の出産で、死産を含みます。\n手続き方法\n病院で手続きができます。利用申込の書類に署名してください。\n出産育児一時金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r310/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r310/)\n*頁右上の Select language で言語を選択（英語、中国語（簡体字、繁体字）、韓国語、スペイン語、ポルトガル語）\n出産で会社を休んだら？　「出産手当金」\n妊娠や出産で長期間仕事を休むと、お給料が支払われなくなり生活に困ることもあります。しかし会社で健康保険に加入して働いている方は、「出産手当金」を請求すれば生活保障として手当金が支給されます。（扶養家族の出産は対象外です。また市町村の国民健康保険には、この制度はありません）\n給付額\n直近一年間のお給料を平均した額のおおよそ2/3\n対象期間\n出産日以前42日間（多胎妊娠は98日間）＋出産日後56日間\n手続き方法\n会社を通して健康保険に申請してください。\n出産手当金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r311/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r311/)\n*頁右上の Select language で言語を選択\nまた毎月のお給料から引かれている社会保険料も、産休中は支払いが免除されます。\n会社の総務の方に相談してみてください。""}, {""sid"": ""S3"", ""question"": ""【健康保険シリーズ5】子どもが生まれたら"", ""answer"": ""健康保険は病気になったときの給付だけではありません。他にもさまざまな給付があります。今日はその中でも、出産にかかわる健康保険からの給付をご紹介します。出産を控えている方にはぜひ知っておいて欲しい制度です。\n出産は保険が使えるの？「出産育児一時金」\n正常な妊娠・出産は病気ではありませんので、健康保険の対象外となります。3割負担での受診はできません。\nしかし「出産育児一時金」の直接払いの手続きをすれば、出産費用が補助されます。\n病院では補助される額を超えた分のみの費用負担で済みます。\n補助額\n一児につき50万円\n（重度の脳性麻痺を保障する制度に加入していない病院では４8.８万円）\n対象者\n妊娠４ヵ月（８５日）以降の出産で、死産を含みます。\n手続き方法\n病院で手続きができます。利用申込の書類に署名してください。\n出産育児一時金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r310/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r310/)\n*頁右上の Select language で言語を選択（英語、中国語（簡体字、繁体字）、韓国語、スペイン語、ポルトガル語）\n出産で会社を休んだら？　「出産手当金」\n妊娠や出産で長期間仕事を休むと、お給料が支払われなくなり生活に困ることもあります。しかし会社で健康保険に加入して働いている方は、「出産手当金」を請求すれば生活保障として手当金が支給されます。（扶養家族の出産は対象外です。また市町村の国民健康保険には、この制度はありません）\n給付額\n直近一年間のお給料を平均した額のおおよそ2/3\n対象期間\n出産日以前42日間（多胎妊娠は98日間）＋出産日後56日間\n手続き方法\n会社を通して健康保険に申請してください。\n出産手当金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r311/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r311/)\n*頁右上の Select language で言語を選択\nまた毎月のお給料から引かれている社会保険料も、産休中は支払いが免除されます。\n会社の総務の方に相談してみてください。""}, {""sid"": ""S4"", ""question"": ""新型コロナウイルス感染症の影響を受けた方への生活支援について"", ""answer"": ""住居確保給付金（家主さんに直接支払われる家賃）\n対象\n離職・廃業から２年以内または休業等により収入が減少し、離職等と同程度の状況にある方\n支給期間\n原則３カ月（最長９カ月まで）\n支給額\n家賃相当額を自治体から家主さんに支給\n申請方法\n市にお住まいの方は各市。町にお住まいの方は各町の社会福祉協議会\nご案内\n住居確保給付金のご案内はこちらから (https://www.mhlw.go.jp/content/000626236.pdf)\n★滋賀県では県営住宅での一時的な受入れを行っています。\n対象\n新型コロナウイルスの感染症に起因する解雇等により住宅の退去を余儀なくされた方\n入居期間\n最長一年間\n申込方法\n県庁土木交通部住宅課へお電話　（℡　０７７－５２８－４２３４）\nその他、生活にお困りの方は、お住まいの市町の福祉課や社会福祉事務所で相談しましょう！""}]"
書類確認の依頼,依頼内容の書類確認については、滋賀県国際協会の情報だけでは具体的な手続きや提出先を特定できません。年末調整や確定申告に関する一般的な案内は、国税庁の外国語版申告書などの情報をご参照ください。 なお、健康保険や健診の案内は関連ページをご確認ください。,"[{""sid"": ""S1"", ""question"": ""年末調整の各種申告書（扶養控除等申告書など）について"", ""answer"": ""国税庁のウェブサイト内で、《外国語版》各種申告書（扶養控除等申告書など）が公開されています。\n【６言語版】\n英語、中国語、ポルトガル語、スペイン語、ベトナム語、フィリピノ語\nご活用ください。""}, {""sid"": ""S3"", ""question"": ""【健康保険シリーズ ８】年に１回は健診を受けましょう！"", ""answer"": ""健康診断を受けていますか？健診はからだの異常を早期に発見できる絶好の機会です。まったく自覚症状のない検査数値の異常も、放置しておくと命にかかわる病気に進行してしまう可能性があります。そのため、毎年の健診結果を確認、比較し、からだの変化を読み取ることが大切です。年に１回は必ず健診を受けましょう。\n日本では、４０歳から７４歳までの健康保険の加入者を対象とした「特定健診」を実施しています。加入する健康保険から年に１回健診費用の補助が受けられます。\n★お勤めの方\n年に１回、健康診断を従業員に受けさせることが事業主に義務付けられています。\n会社で健康診断の案内があったら必ず受診しましょう。法で定められた検査項目については、事業主が費用を負担します。\n★協会けんぽの健康保険に加入の扶養家族の方\n４０歳以上のご家族の方には、毎年４月に特定健診の案内が自宅に届きます。\n中には、受診券やパンフレットなどが入っています。事前に受けたい病院や会場を予約して、特定健診を受けましょう。受診券があれば、費用の総額から７,１５０円引きになります。 自己負担なしの無料で受けられる会場もありますので、案内が届いたら、必ず受診しましょう。\n★国民健康保険に加入中の方\n国民健康保険でも特定健診の受診を推進しており、自宅に案内を配付していますので、案内が届いたら必ず受診しましょう。案内の時期や内容については、住んでいる市町村役場に聞いてみましょう。\n協会けんぽに加入の皆様へ ～ お知らせ ～\n２０２３年１月から、協会けんぽの申請書・届出書の様式が変更になりました。\n新しい様式は、協会けんぽのホームページからダウンロードできます。\n古い様式の申請書・届出書をお持ちの方は、使用せず廃棄してください。""}, {""sid"": ""S4"", ""question"": ""【健康保険シリーズ ８】年に１回は健診を受けましょう！"", ""answer"": ""健康診断を受けていますか？健診はからだの異常を早期に発見できる絶好の機会です。まったく自覚症状のない検査数値の異常も、放置しておくと命にかかわる病気に進行してしまう可能性があります。そのため、毎年の健診結果を確認、比較し、からだの変化を読み取ることが大切です。年に１回は必ず健診を受けましょう。\n日本では、４０歳から７４歳までの健康保険の加入者を対象とした「特定健診」を実施しています。加入する健康保険から年に１回健診費用の補助が受けられます。\n★お勤めの方\n年に１回、健康診断を従業員に受けさせることが事業主に義務付けられています。\n会社で健康診断の案内があったら必ず受診しましょう。法で定められた検査項目については、事業主が費用を負担します。\n★★\t協会けんぽの健康保険に加入の扶養家族の方\n４０歳以上のご家族の方には、毎年４月に特定健診の案内が自宅に届きます。\n中には、受診券やパンフレットなどが入っています。事前に受けたい病院や会場を予約して、特定健診を受けましょう。受診券があれば、費用の総額から７,１５０円引きになります。 自己負担なしの無料で受けられる会場もありますので、案内が届いたら、必ず受診しましょう。\n★★国民健康保険に加入中の方\n国民健康保険でも特定健診の受診を推進しており、自宅に案内を配付していますので、案内が届いたら必ず受診しましょう。案内の時期や内容については、住んでいる市町村役場に聞いてみましょう。\n協会けんぽに加入の皆様へ ～ お知らせ ～\n从2２０２３年１月から、協会けんぽの申請書・届出書の様式が変更になりました。\n新しい様式は、協会けんぽのホームページからダウンロードできます。\n古い様式の申請書・届出書をお持ちの方は、使用せず廃棄してください。""}, {""sid"": ""S5"", ""question"": ""確定申告　2025年2月17日（月）～3月17日（月）"", ""answer"": ""多額の医療費を支払った、住宅ローンがあるなど控除額に訂正がある場合や事業所得者、複数の場所で所得がある方は税務署で確定申告をしましょう。""}]"
滋賀県での日本語学習,滋賀県で日本語学習に関する情報は、S1のサイト群から直接参照できる日本語学校リストが示されています。滋賀県内の具体的な日本語学校名はS1に滋賀県向けの一覧として掲載されていませんが、滋賀県内で学習機会を探す場合はS1にある京都や全国の日本語学校を案内として参照することができます。必要であれば、滋賀県内の日本語教育機関を直接検索するか、滋賀県教育委員会等の公的情報源をご利用ください。,"[{""sid"": ""S1"", ""question"": ""日本語学校 Japanese Language Schools"", ""answer"": ""- 京都日本語学校 (Kyoto Japanese Language School) (http://kjls.or.jp/)\n- 京都文化日本語学校 (Kyoto Institute of Culture and Language) (http://www.kicl.ac.jp/jp/)\n- 京都民際日本語学校 (Kyoto Minsai Japanese Language School) (http://www.kyotominsai.co.jp/)\n- 京都日本語研修センター(Kyoto Japanese Language Training Center) (http://www.kjltc.jp/)\n- YIC京都日本語学院 (YIC Kyoto Japanese Academy) (http://www.yic-kyoto.ac.jp/japanese/)\n- 京都国際アカデミー(Kyoto International Academy of Japanese Language) (http://www.kia-ac.jp/index.html)\n- 日本語センター(Kyoto Japanese Language School) (https://nihongo-center.com/)\n- ARC 京都日本語学校 (ARC Academy Kyoto) (http://japanese.arc-academy.co.jp/?lang=ja)\n- にほんご空間・京都 (Japanese Space Kyoto) (http://j-space.sakura.ne.jp/wp2/)\n- 京進ランゲージアカデミー(Kyoshin Language Academy-Kyoto Chuo School) (http://www.kla.ac/jp/kyoto_chuo/)\n- ISIランゲージスクール 京都校 (ISI Japanese Language School - Kyoto campus) (http://www.isi-education.com/ja/)""}]"
職場のいじめ,滋賀県国際協会の情報に基づくと、職場でのいじめは許されません。相談先として、滋賀労働局 雇用環境・均等室（電話 077-523-1190）や労働条件相談ほっとライン（多言語相談）、闇バイトの相談窓口、警察相談ダイヤル#9110 などが案内されています。いじめや嫌がらせ、セクハラ、解雇などのトラブルがあった場合は、まず勤務先の就業規則や雇用契約書を確認し、必要に応じて上司・人事部門へ正式に相談してください。適切な対応がされない場合は、労働局や警察などの公的機関へ相談を進めることが推奨されています。,"[{""sid"": ""S4"", ""question"": ""労働トラブルの相談"", ""answer"": ""労働関係のトラブルがあった場合は、下記の労働基準監督署に相談しましょう。（労働契約、就労規則、給料明細などがあれば持参してください）""}]"
