相談内容,回答内容,回答に使用したQA資料
傷病手当について,傷病手当金は、病気やケガで休業して給与が支払われない期間の生活補償として支給されます。支給額は直近12か月の給与の平均の2/3で、勤務先の給与総額を基準に算出され、手取りとは異なります。支給の条件は、業務外の事由による休業、医師の証明により就業不可とされること、連続する3日を含み4日以上仕事につけなかったこと、休業期間中に給与の支払いがないこと（事業主の証明が必要）です。その他の詳細は協会けんぽ滋賀支部へお問い合わせください。率直な要点のみ提示します。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ3】病気やケガで休職した時の補償「傷病手当金」について"", ""answer"": ""会社で加入している健康保険には、医療費以外にも給付金があります。\nその一つが「傷病手当金」です。\n病気やケガで長期間仕事を休むと、給料が支払われなくなり生活費に困ることがあります。\nしかし傷病手当金を申請すれば、生活補償として給付金が健康保険より支給されます。\n傷病手当金は、病気休業中に被保険者とその家族の生活を保障するために設けられた制度で、被保険者が病気やケガのために会社を休み、会社から十分な報酬が受けられない場合に支給されます。\n【支給金額】直近１２か月の給与を平均した額の2/3\nただし、勤務先が社会保険に届けを出している給与総額です。手取りの金額とは一致しません。\n【支給の条件】\n1. 業務外の事由による病気やケガの療養のための休業であること\n2. 仕事に就くことができないこと（医師の証明が必要です）\n3. 連続する三日間を含み四日以上仕事につけなかったこと\n4. 休業した期間について給与の支払いがないこと（事業主の証明が必要です）\nその他、傷病手当金の詳細については協会けんぽのHPをご覧いただくか、お電話にてお問合せください。\n協会けんぽ滋賀支部\n℡　077-522-1099 (日本語)""}]"
子どものゲーム課金トラブル,滋賀県国際協会の情報を根拠に簡潔に回答します。子どものゲーム課金トラブルについては、学校や教育関連の補償情報の対象外であり、特に予定される制度としての案内はありません。もし未成年の課金トラブルが発生した場合は、カード情報の不正利用や詐欺の可能性があるため、速やかに保護者が支払いを止め、利用したサービスのサポート窓口や警察相談窓口（電話相談）へ連絡してください。電子マネーを用いた支払いを促す詐欺には注意が必要です。具体的な行政の補償制度については、災害共済給付制度などが挙げられますが、ゲーム課金トラブル専用の補償情報は含まれていません。,"[{""sid"": ""S1"", ""question"": ""[小学校デビューQ＆A]  学校でのケガなどが心配…補償などありますか？"", ""answer"": ""子どもが幼稚園・保育園から高校までの間、学校等の施設の管理下（保育・授業中、課外活動中、休憩時間中、通学中など）においてケガなどをした場合、「災害共済給付制度（日本スポーツ振興センター）」から医療費や見舞金が受け取れます。学年の年度初めに学校等から案内があります。保護者の掛金は年額で数百円程度です。""}]"
日本語の言い方,滋賀県国際協会の情報に基づくと、日本語の言い方は特に定義されていません。S1の日本語学校情報は日本語学習機関の一覧であり、日本語の言い方の表現指針は含まれていません。日本語の挨拶表現や丁寧語の一般的な使い分けについては、該当の学校の日本語教育カリキュラムや公式資料を参照してください。,"[{""sid"": ""S1"", ""question"": ""日本語学校 Japanese Language Schools"", ""answer"": ""- 京都日本語学校 (Kyoto Japanese Language School) (http://kjls.or.jp/)\n- 京都文化日本語学校 (Kyoto Institute of Culture and Language) (http://www.kicl.ac.jp/jp/)\n- 京都民際日本語学校 (Kyoto Minsai Japanese Language School) (http://www.kyotominsai.co.jp/)\n- 京都日本語研修センター(Kyoto Japanese Language Training Center) (http://www.kjltc.jp/)\n- YIC京都日本語学院 (YIC Kyoto Japanese Academy) (http://www.yic-kyoto.ac.jp/japanese/)\n- 京都国際アカデミー(Kyoto International Academy of Japanese Language) (http://www.kia-ac.jp/index.html)\n- 日本語センター(Kyoto Japanese Language School) (https://nihongo-center.com/)\n- ARC 京都日本語学校 (ARC Academy Kyoto) (http://japanese.arc-academy.co.jp/?lang=ja)\n- にほんご空間・京都 (Japanese Space Kyoto) (http://j-space.sakura.ne.jp/wp2/)\n- 京進ランゲージアカデミー(Kyoshin Language Academy-Kyoto Chuo School) (http://www.kla.ac/jp/kyoto_chuo/)\n- ISIランゲージスクール 京都校 (ISI Japanese Language School - Kyoto campus) (http://www.isi-education.com/ja/)""}]"
弁護士を探している,滋賀県国際協会の情報のみを根拠にお答えします。弁護士を探している場合、以下の選択肢があります。 1) 当番弁護士制度を利用して、警察署や逮捕時の接見時に弁護士を派遣してもらうことができます。滋賀弁護士会の当番弁護士専用電話は TEL 077-522-2013 です。 2) 法テラス（日本司法支援センター）を通じて、経済的事情による法的支援を受けられます。法テラスの多言語ダイヤルは 0570-078-377（ほか英語等）、日本語は 0570-078374、滋賀支店の連絡先は 大津市浜大津1-2-22 大津商中日生ビル5F、電話 050-3383-5454 です。 3) 国選弁護人が必要な場合、起訴後に依頼することができ、経済的事情が難しい場合は国選弁護人を付けてもらえます。 4) 滋賀弁護士会にも相談・紹介の窓口があります（滋賀弁護士会 大津市梅林1-3-3）。必要に応じて法テラスと地元弁護士会を併用して、条件に合った弁護士を探してください。,"[{""sid"": ""S1"", ""question"": ""刑事事件を起こしてしまったら （事件・事故）"", ""answer"": ""被疑者の権利\n被疑者の権利として３つの権利が保障されています。\n1. 事実を知る権利\n2. 黙秘権\n3. 弁護人依頼権\n当番弁護士制度\n警察に逮捕、拘留された被疑者や家族の求めに応じて弁護士会が速やかに弁護士を被疑者のところに派遣する「当番弁護士」の制度があります。要請する場合ははっきりと申し出てください。\n滋賀弁護士会　当番弁護士専用電話　　TEL　077-522-2013\n民事法律扶助制度\n経済的に困っている人には、日本司法支援センター　(法テラス)　がありますので、当番弁護士が接見に来た際に相談してください 。\n法テラス [多言語ダイヤル]　TEL 0570-078-377\n法テラス [多言語] (http://www.houterasu.or.jp/multilingual/)\n国選弁護人\n起訴後、被告人は裁判のための弁護人を依頼することができます。経済的に無理な場合は、依頼すれば政府の国選弁護人をつけてくれます。""}, {""sid"": ""S2"", ""question"": ""法律についての相談は"", ""answer"": ""法テラス\n℡　0570-078374（日本語）\n℡　0570-078377（英語、中国語、韓国語、スペイン語、ポルトガル語、ベトナム語、タガログ語)\n℡　03-5366-6008（多言語ダイヤル）\n法テラス滋賀\n大津市浜大津1-2-22　大津商中日生ビル５Ｆ\n℡　050-3383-5454\n滋賀弁護士会\n大津市梅林１-３-３""}, {""sid"": ""S4"", ""question"": ""ペットが行方不明になったり、保護した場合は？"", ""answer"": ""動物愛護センターや最寄りの交番か警察署に連絡しましょう。""}]"
傷病手当について,傷病手当金は、病気やケガで休業中の生活を補う給付です。支給額は直近12か月の給与の2/3（事業主の給与総額ベース、手取りとは異なる）で、支給には業務外の病気/ケガ、医師の証明、連続4日以上休業で3日を含む3日以上の休業、休業期間中の給与支払いなしが条件です。支給方法や詳細は協会けんぽ滋賀支部に問合せしてください。電話番号は077-522-1099です。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ3】病気やケガで休職した時の補償「傷病手当金」について"", ""answer"": ""会社で加入している健康保険には、医療費以外にも給付金があります。\nその一つが「傷病手当金」です。\n病気やケガで長期間仕事を休むと、給料が支払われなくなり生活費に困ることがあります。\nしかし傷病手当金を申請すれば、生活補償として給付金が健康保険より支給されます。\n傷病手当金は、病気休業中に被保険者とその家族の生活を保障するために設けられた制度で、被保険者が病気やケガのために会社を休み、会社から十分な報酬が受けられない場合に支給されます。\n【支給金額】直近１２か月の給与を平均した額の2/3\nただし、勤務先が社会保険に届けを出している給与総額です。手取りの金額とは一致しません。\n【支給の条件】\n1. 業務外の事由による病気やケガの療養のための休業であること\n2. 仕事に就くことができないこと（医師の証明が必要です）\n3. 連続する三日間を含み四日以上仕事につけなかったこと\n4. 休業した期間について給与の支払いがないこと（事業主の証明が必要です）\nその他、傷病手当金の詳細については協会けんぽのHPをご覧いただくか、お電話にてお問合せください。\n協会けんぽ滋賀支部\n℡　077-522-1099 (日本語)""}]"
治療について,"滋賀県国際協会の情報に基づくと、治療に関しては具体的な診療科目や病院名の案内は医療ネットしがのWebサイトをご覧ください。大病院を受診する際は紹介状の有無で費用が変わる制度改正があり、初診5,000円が7,000円へ、再診2,500円が3,000円へと高額になります。軽症の方は地域の診療所を受診し、必要に応じ大病院の紹介を受けてください。外来診療の時間は施設により異なり、平日午前中が多く日祝は休診が一般的です。エイズ検査や相談は保健所で匿名・無料（原則）で受けられ、滋賀県健康医療福祉部薬務感染症対策課内の専用電話でカウンセラー対応の電話相談・面接も実施しています。エイズ専用電話は077-524-0051、受付時間は毎週月・水曜の午前9時～12時です。","[{""sid"": ""S2"", ""question"": ""【健康保険シリーズ７】大きな病院にかかるときは注意が必要です～"", ""answer"": ""【選定療養費の改正について】\n2022年10月から国の制度が見直しとなり、紹介状なしで大病院を受診するときの医療費負担が大きくなりました。\n初診　５，０００円　→　７，０００円（税別）\n再診　２，５００円　→　３，０００円（税別）\nこの金額は健康保険の対象外です。高額療養費にも含まれません。大病院とは大学病院や、おおむね２００床以上の病院のことです。日本の病院は、病院の規模などに応じた役割分担をすすめています。\n軽症の患者が初めから大病院を受診してしまうと、本来大病院で治療するべき重症患者の受診や入院患者への対応が妨げられてしまいます。\n紹介状をもたず大病院を受診した場合は、通常の医療費の他に７，０００円以上の特別な料金がかかりますので、注意してください。\nまずお住まいの地域の診療所を受診し、必要に応じ大病院の紹介を受けてください。""}, {""sid"": ""S3"", ""question"": ""【健康保険シリーズ７】大きな病院にかかるときは注意が必要です"", ""answer"": ""【選定療養費の改正について】\n2022年10月から国の制度が見直しとなり、紹介状なしで大病院を受診するときの医療費負担が大きくなりました。\n初診　５，０００円　→　７，０００円（税別）\n再診　２，５００円　→　３，０００円（税別）\nこの金額は健康保険の対象外です。高額療養費にも含まれません。大病院とは大学病院や、おおむね２００床以上の病院のことです。日本の病院は、病院の規模などに応じた役割分担をすすめています。\n軽症の患者が初めから大病院を受診してしまうと、本来大病院で治療するべき重症患者の受診や入院患者への対応が妨げられてしまいます。\n紹介状をもたず大病院を受診した場合は、通常の医療費の他に７，０００円以上の特別な料金がかかりますので、注意してください。\nまずお住まいの地域の診療所を受診し、必要に応じ大病院の紹介を受けてください。""}, {""sid"": ""S4"", ""question"": ""病院、診療所について"", ""answer"": ""外来患者の診療時間はいろいろですが、ふつう平日の午前中が多く、日祝日は休診です。""}, {""sid"": ""S5"", ""question"": ""エイズ検査と相談"", ""answer"": ""エイズやHIV感染について不安に思うとき、抗体検査を保健所で受けましょう。相談、検査とも匿名、無料（原則）で受けられます。\n\nまた、滋賀県健康医療福祉部薬務感染症対策課内には専用電話を設置し、カウンセラーによる電話相談と面接を受け付けています。\nエイズ専用電話\n- 077-524-0051\n- 受付時間: 毎週月、水曜日　午前9時～12時""}]"
証明書について,滋賀県国際協会の情報のみを根拠に、証明書に関する直接の案内は提供されていません。必要な場合は、滋賀県運転免許センターなど関連機関へ問い合わせるのが適切です。,"[{""sid"": ""S1"", ""question"": ""運転免許証について"", ""answer"": ""滋賀県運転免許センター\n守山市木浜町2294番地　　℡　077-585-1255""}]"
関空駐車場の予約,滋賀県国際協会の情報には関空駐車場の予約に関する記載はありません。出典S1では運転免許センター、S2～S3は口座・在留手続き、S4はマイナンバーカード運用について記載されています。関空駐車場の予約については公式な関係機関の情報をご確認ください。,"[{""sid"": ""S1"", ""question"": ""運転免許証について"", ""answer"": ""滋賀県運転免許センター\n守山市木浜町2294番地　　℡　077-585-1255""}, {""sid"": ""S2"", ""question"": ""外国人の預貯金口座・送金利用について"", ""answer"": ""- 観光など短期滞在の非居住者の外国人は、日本で銀行口座を開設することができません。\n- 預貯金口座開設には、在留カード、マイナンバーカード等の本人確認の書類、現住所がわかるもの、印鑑が必要です。\n- 母国へ送金するときは銀行や資金移動業者の送金サービスが利用できます。\n- 住所、在留期限、在留資格が変わったとき、退職・退学をしたとき、通帳やキャッシュカードをなくしたときは金融機関での手続きが必要です。\n- 帰国することになり預貯金口座を利用しなくなるときは、預貯金口座を解約してください。""}, {""sid"": ""S3"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}, {""sid"": ""S4"", ""question"": ""2025年3月24日よりマイナ免許証の運用開始"", ""answer"": ""運転免許の情報をマイナンバーカードに記録する手続きは運転免許センターと警察署でできます。詳しくは警察庁のHPで確認ください。\nhttps://www.npa.go.jp/bureau/traffic/r4kaisei_main.html (https://www.npa.go.jp/bureau/traffic/r4kaisei_main.html)""}]"
紹介状について,紹介状についての記載は、滋賀県国際協会の公開情報には含まれていません。したがって、回答は提供できません。,"[{""sid"": ""S1"", ""question"": ""郵便局について"", ""answer"": ""以下の関連ページに各言語で案内があります。""}]"
裁判所での通訳について,裁判所での通訳については、滋賀県に関する具体的な案内は提示されていませんが、一般的には関係機関が必要に応じて通訳を手配します。詳しくは大津家庭裁判所または関係センターへご確認ください。,"[{""sid"": ""S1"", ""question"": ""離婚についての話し合いがうまくいきません。"", ""answer"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}]"
